"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"1";"80";NA;"Belgium";"2020-03-10";"2020";"11";0;1;0;1;"Belgium";"AgeGender"
"2";"65";"74";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"3";"75";"84";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"4";"25";"44";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"5";"45";"64";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"6";"0";"24";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"7";NA;NA;"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"8";"80";NA;"Belgium";"2020-03-11";"2020";"11";1;1;0;2;"Belgium";"AgeGender"
"9";"65";"74";"Belgium";"2020-03-11";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"10";"75";"84";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"11";"25";"44";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"12";"45";"64";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"13";"0";"24";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"14";NA;NA;"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"15";"80";NA;"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"16";"65";"74";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"17";"75";"84";"Belgium";"2020-03-12";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"18";"25";"44";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"19";"45";"64";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"20";"0";"24";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"21";NA;NA;"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"22";"80";NA;"Belgium";"2020-03-13";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"23";"65";"74";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"24";"75";"84";"Belgium";"2020-03-13";"2020";"11";0;2;0;2;"Belgium";"AgeGender"
"25";"25";"44";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"26";"45";"64";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"27";"0";"24";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"28";NA;NA;"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"29";"80";NA;"Belgium";"2020-03-14";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"30";"65";"74";"Belgium";"2020-03-14";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"31";"75";"84";"Belgium";"2020-03-14";"2020";"11";2;1;0;3;"Belgium";"AgeGender"
"32";"25";"44";"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"33";"45";"64";"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"34";"0";"24";"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"35";NA;NA;"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"36";"80";NA;"Belgium";"2020-03-15";"2020";"11";0;2;0;2;"Belgium";"AgeGender"
"37";"65";"74";"Belgium";"2020-03-15";"2020";"11";1;1;0;2;"Belgium";"AgeGender"
"38";"75";"84";"Belgium";"2020-03-15";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"39";"25";"44";"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"40";"45";"64";"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"41";"0";"24";"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"42";NA;NA;"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"43";"80";NA;"Belgium";"2020-03-16";"2020";"12";2;4;0;6;"Belgium";"AgeGender"
"44";"65";"74";"Belgium";"2020-03-16";"2020";"12";2;1;0;3;"Belgium";"AgeGender"
"45";"75";"84";"Belgium";"2020-03-16";"2020";"12";1;2;0;3;"Belgium";"AgeGender"
"46";"25";"44";"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"47";"45";"64";"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"48";"0";"24";"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"49";NA;NA;"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"50";"80";NA;"Belgium";"2020-03-17";"2020";"12";4;1;0;5;"Belgium";"AgeGender"
"51";"65";"74";"Belgium";"2020-03-17";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"52";"75";"84";"Belgium";"2020-03-17";"2020";"12";1;2;1;4;"Belgium";"AgeGender"
"53";"25";"44";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"54";"45";"64";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"55";"0";"24";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"56";NA;NA;"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"57";"80";NA;"Belgium";"2020-03-18";"2020";"12";4;6;1;11;"Belgium";"AgeGender"
"58";"65";"74";"Belgium";"2020-03-18";"2020";"12";1;1;0;2;"Belgium";"AgeGender"
"59";"75";"84";"Belgium";"2020-03-18";"2020";"12";5;3;0;8;"Belgium";"AgeGender"
"60";"25";"44";"Belgium";"2020-03-18";"2020";"12";0;1;0;1;"Belgium";"AgeGender"
"61";"45";"64";"Belgium";"2020-03-18";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"62";"0";"24";"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"63";NA;NA;"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"64";"80";NA;"Belgium";"2020-03-19";"2020";"12";6;10;2;18;"Belgium";"AgeGender"
"65";"65";"74";"Belgium";"2020-03-19";"2020";"12";6;3;0;9;"Belgium";"AgeGender"
"66";"75";"84";"Belgium";"2020-03-19";"2020";"12";4;3;0;7;"Belgium";"AgeGender"
"67";"25";"44";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"68";"45";"64";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"69";"0";"24";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"70";NA;NA;"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"71";"80";NA;"Belgium";"2020-03-20";"2020";"12";6;16;0;22;"Belgium";"AgeGender"
