"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"1";"Brussels";"80";NA;"Belgium";"2020-03-10";"2020";"11";0;1;0;1;"Belgium";"AgeGender"
"2";"Brussels";"65";"74";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"3";"Brussels";"75";"84";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"4";"Brussels";"25";"44";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"5";"Brussels";"45";"64";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"6";"Brussels";"0";"24";"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"7";"Brussels";NA;NA;"Belgium";"2020-03-10";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"8";"Brussels";"80";NA;"Belgium";"2020-03-11";"2020";"11";0;1;0;1;"Belgium";"AgeGender"
"9";"Brussels";"65";"74";"Belgium";"2020-03-11";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"10";"Brussels";"75";"84";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"11";"Brussels";"25";"44";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"12";"Brussels";"45";"64";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"13";"Brussels";"0";"24";"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"14";"Brussels";NA;NA;"Belgium";"2020-03-11";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"15";"Brussels";"80";NA;"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"16";"Brussels";"65";"74";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"17";"Brussels";"75";"84";"Belgium";"2020-03-12";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"18";"Brussels";"25";"44";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"19";"Brussels";"45";"64";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"20";"Brussels";"0";"24";"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"21";"Brussels";NA;NA;"Belgium";"2020-03-12";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"22";"Brussels";"80";NA;"Belgium";"2020-03-13";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"23";"Brussels";"65";"74";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"24";"Brussels";"75";"84";"Belgium";"2020-03-13";"2020";"11";0;2;0;2;"Belgium";"AgeGender"
"25";"Brussels";"25";"44";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"26";"Brussels";"45";"64";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"27";"Brussels";"0";"24";"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"28";"Brussels";NA;NA;"Belgium";"2020-03-13";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"29";"Brussels";"80";NA;"Belgium";"2020-03-14";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"30";"Brussels";"65";"74";"Belgium";"2020-03-14";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"31";"Brussels";"75";"84";"Belgium";"2020-03-14";"2020";"11";1;1;0;2;"Belgium";"AgeGender"
"32";"Brussels";"25";"44";"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"33";"Brussels";"45";"64";"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"34";"Brussels";"0";"24";"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"35";"Brussels";NA;NA;"Belgium";"2020-03-14";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"36";"Brussels";"80";NA;"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"37";"Brussels";"65";"74";"Belgium";"2020-03-15";"2020";"11";0;1;0;1;"Belgium";"AgeGender"
"38";"Brussels";"75";"84";"Belgium";"2020-03-15";"2020";"11";1;0;0;1;"Belgium";"AgeGender"
"39";"Brussels";"25";"44";"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"40";"Brussels";"45";"64";"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"41";"Brussels";"0";"24";"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"42";"Brussels";NA;NA;"Belgium";"2020-03-15";"2020";"11";0;0;0;0;"Belgium";"AgeGender"
"43";"Brussels";"80";NA;"Belgium";"2020-03-16";"2020";"12";2;1;0;3;"Belgium";"AgeGender"
"44";"Brussels";"65";"74";"Belgium";"2020-03-16";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"45";"Brussels";"75";"84";"Belgium";"2020-03-16";"2020";"12";0;1;0;1;"Belgium";"AgeGender"
"46";"Brussels";"25";"44";"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"47";"Brussels";"45";"64";"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"48";"Brussels";"0";"24";"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"49";"Brussels";NA;NA;"Belgium";"2020-03-16";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"50";"Brussels";"80";NA;"Belgium";"2020-03-17";"2020";"12";3;0;0;3;"Belgium";"AgeGender"
"51";"Brussels";"65";"74";"Belgium";"2020-03-17";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"52";"Brussels";"75";"84";"Belgium";"2020-03-17";"2020";"12";0;1;0;1;"Belgium";"AgeGender"
"53";"Brussels";"25";"44";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"54";"Brussels";"45";"64";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"55";"Brussels";"0";"24";"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"56";"Brussels";NA;NA;"Belgium";"2020-03-17";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"57";"Brussels";"80";NA;"Belgium";"2020-03-18";"2020";"12";3;2;0;5;"Belgium";"AgeGender"
"58";"Brussels";"65";"74";"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"59";"Brussels";"75";"84";"Belgium";"2020-03-18";"2020";"12";1;3;0;4;"Belgium";"AgeGender"
"60";"Brussels";"25";"44";"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"61";"Brussels";"45";"64";"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"62";"Brussels";"0";"24";"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"63";"Brussels";NA;NA;"Belgium";"2020-03-18";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"64";"Brussels";"80";NA;"Belgium";"2020-03-19";"2020";"12";1;3;0;4;"Belgium";"AgeGender"
"65";"Brussels";"65";"74";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"66";"Brussels";"75";"84";"Belgium";"2020-03-19";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"67";"Brussels";"25";"44";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"68";"Brussels";"45";"64";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"69";"Brussels";"0";"24";"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"70";"Brussels";NA;NA;"Belgium";"2020-03-19";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"71";"Brussels";"80";NA;"Belgium";"2020-03-20";"2020";"12";1;3;0;4;"Belgium";"AgeGender"
"72";"Brussels";"65";"74";"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"73";"Brussels";"75";"84";"Belgium";"2020-03-20";"2020";"12";0;1;0;1;"Belgium";"AgeGender"
"74";"Brussels";"25";"44";"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"75";"Brussels";"45";"64";"Belgium";"2020-03-20";"2020";"12";1;0;0;1;"Belgium";"AgeGender"
"76";"Brussels";"0";"24";"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
"77";"Brussels";NA;NA;"Belgium";"2020-03-20";"2020";"12";0;0;0;0;"Belgium";"AgeGender"
