"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"1";"2020-03-24";"2020";"13";"168";"124";"44";"0";"Germany";"Gender"
"2";"2020-04-10";"2020";"15";"208";"114";"94";"0";"Germany";"Gender"
"3";"2020-12-12";"2020";"50";"759";"383";"375";"1";"Germany";"Gender"
"4";"2020-12-21";"2020";"52";"904";"465";"436";"3";"Germany";"Gender"
"5";"2021-01-04";"2021";"01";"763";"403";"356";"4";"Germany";"Gender"
"6";"2021-01-14";"2021";"02";"933";"443";"490";"0";"Germany";"Gender"
"7";"2021-01-26";"2021";"04";"571";"297";"271";"3";"Germany";"Gender"
"8";"2021-02-21";"2021";"07";"94";"55";"38";"1";"Germany";"Gender"
"9";"2021-02-22";"2021";"08";"173";"88";"85";"0";"Germany";"Gender"
"10";"2021-03-27";"2021";"12";"188";"123";"65";"0";"Germany";"Gender"
"11";"2021-01-28";"2021";"04";"472";"242";"228";"2";"Germany";"Gender"
"12";"2021-03-11";"2021";"10";"191";"105";"85";"1";"Germany";"Gender"
"13";"2020-03-31";"2020";"14";"379";"226";"153";"0";"Germany";"Gender"
"14";"2020-12-11";"2020";"50";"965";"462";"502";"1";"Germany";"Gender"
"15";"2020-12-14";"2020";"51";"813";"424";"387";"2";"Germany";"Gender"
"16";"2021-01-10";"2021";"01";"404";"180";"222";"2";"Germany";"Gender"
"17";"2021-01-11";"2021";"02";"574";"277";"291";"6";"Germany";"Gender"
"18";"2021-01-15";"2021";"02";"799";"392";"407";"0";"Germany";"Gender"
"19";"2021-01-20";"2021";"03";"759";"366";"390";"3";"Germany";"Gender"
"20";"2021-02-02";"2021";"05";"387";"185";"202";"0";"Germany";"Gender"
"21";"2021-02-14";"2021";"06";"104";"62";"42";"0";"Germany";"Gender"
"22";"2021-02-16";"2021";"07";"279";"151";"127";"1";"Germany";"Gender"
"23";"2021-03-10";"2021";"10";"200";"119";"81";"0";"Germany";"Gender"
"24";"2020-11-22";"2020";"47";"281";"157";"124";"0";"Germany";"Gender"
"25";"2020-12-29";"2020";"53";"1223";"566";"654";"3";"Germany";"Gender"
"26";"2021-01-21";"2021";"03";"684";"331";"351";"2";"Germany";"Gender"
"27";"2021-03-02";"2021";"09";"186";"94";"92";"0";"Germany";"Gender"
"28";"2021-05-22";"2021";"20";"5";"2";"3";"0";"Germany";"Gender"
"29";"2021-04-03";"2021";"13";"163";"85";"78";"0";"Germany";"Gender"
"30";"2020-04-06";"2020";"15";"294";"165";"129";"0";"Germany";"Gender"
"31";"2020-04-09";"2020";"15";"326";"170";"155";"1";"Germany";"Gender"
"32";"2020-04-20";"2020";"17";"149";"84";"65";"0";"Germany";"Gender"
"33";"2020-09-25";"2020";"39";"14";"11";"3";"0";"Germany";"Gender"
"34";"2020-12-03";"2020";"49";"837";"379";"457";"1";"Germany";"Gender"
"35";"2020-12-17";"2020";"51";"1143";"577";"566";"0";"Germany";"Gender"
"36";"2021-01-24";"2021";"03";"205";"107";"96";"2";"Germany";"Gender"
"37";"2021-01-25";"2021";"04";"419";"232";"185";"2";"Germany";"Gender"
"38";"2021-02-28";"2021";"08";"67";"39";"28";"0";"Germany";"Gender"
"39";"2021-03-24";"2021";"12";"243";"149";"94";"0";"Germany";"Gender"
"40";"2020-03-30";"2020";"14";"267";"169";"98";"0";"Germany";"Gender"
"41";"2020-04-01";"2020";"14";"376";"210";"166";"0";"Germany";"Gender"
"42";"2020-10-18";"2020";"42";"53";"35";"18";"0";"Germany";"Gender"
"43";"2020-11-05";"2020";"45";"334";"176";"157";"1";"Germany";"Gender"
"44";"2020-12-10";"2020";"50";"1061";"515";"541";"5";"Germany";"Gender"
"45";"2020-12-24";"2020";"52";"705";"349";"354";"2";"Germany";"Gender"
"46";"2020-12-27";"2020";"52";"520";"283";"236";"1";"Germany";"Gender"
"47";"2021-01-02";"2021";"53";"575";"294";"276";"5";"Germany";"Gender"
"48";"2021-01-08";"2021";"01";"906";"447";"454";"5";"Germany";"Gender"
"49";"2021-01-19";"2021";"03";"751";"366";"381";"4";"Germany";"Gender"
"50";"2021-02-01";"2021";"05";"305";"157";"147";"1";"Germany";"Gender"
"51";"2021-02-26";"2021";"08";"177";"89";"88";"0";"Germany";"Gender"
"52";"2021-03-23";"2021";"12";"252";"159";"93";"0";"Germany";"Gender"
"53";"2021-04-23";"2021";"16";"185";"98";"87";"0";"Germany";"Gender"
"54";"2020-07-27";"2020";"31";"7";"4";"3";"0";"Germany";"Gender"
"55";"2020-10-29";"2020";"44";"270";"152";"118";"0";"Germany";"Gender"
"56";"2020-11-26";"2020";"48";"650";"293";"357";"0";"Germany";"Gender"
"57";"2020-12-02";"2020";"49";"722";"354";"365";"3";"Germany";"Gender"
"58";"2020-12-07";"2020";"50";"678";"343";"335";"0";"Germany";"Gender"
"59";"2020-12-22";"2020";"52";"1177";"603";"571";"3";"Germany";"Gender"
"60";"2020-12-25";"2020";"52";"505";"264";"241";"0";"Germany";"Gender"
"61";"2021-01-05";"2021";"01";"1015";"510";"505";"0";"Germany";"Gender"
"62";"2021-01-06";"2021";"01";"902";"417";"471";"14";"Germany";"Gender"
"63";"2021-01-07";"2021";"01";"1013";"502";"499";"12";"Germany";"Gender"
"64";"2021-01-16";"2021";"02";"530";"264";"265";"1";"Germany";"Gender"
"65";"2021-01-27";"2021";"04";"614";"312";"299";"3";"Germany";"Gender"
"66";"2021-02-18";"2021";"07";"234";"126";"108";"0";"Germany";"Gender"
"67";"2021-04-06";"2021";"14";"238";"157";"80";"1";"Germany";"Gender"
"68";"2021-04-07";"2021";"14";"258";"170";"88";"0";"Germany";"Gender"
"69";"2021-04-24";"2021";"16";"146";"82";"64";"0";"Germany";"Gender"
"70";"2020-03-22";"2020";"12";"78";"55";"23";"0";"Germany";"Gender"
"71";"2020-03-23";"2020";"13";"131";"81";"50";"0";"Germany";"Gender"
"72";"2020-03-29";"2020";"13";"166";"97";"69";"0";"Germany";"Gender"
"73";"2020-11-04";"2020";"45";"308";"151";"157";"0";"Germany";"Gender"
"74";"2020-11-16";"2020";"47";"448";"224";"224";"0";"Germany";"Gender"
"75";"2020-11-27";"2020";"48";"624";"294";"330";"0";"Germany";"Gender"
"76";"2020-12-18";"2020";"51";"1021";"500";"519";"2";"Germany";"Gender"
"77";"2021-01-01";"2021";"53";"406";"185";"219";"2";"Germany";"Gender"
"78";"2021-01-12";"2021";"02";"874";"444";"426";"4";"Germany";"Gender"
"79";"2021-01-17";"2021";"02";"315";"167";"147";"1";"Germany";"Gender"
"80";"2021-01-18";"2021";"03";"529";"284";"242";"3";"Germany";"Gender"
"81";"2021-01-30";"2021";"04";"299";"168";"131";"0";"Germany";"Gender"
"82";"2021-01-31";"2021";"04";"181";"102";"79";"0";"Germany";"Gender"
"83";"2021-03-15";"2021";"11";"138";"83";"55";"0";"Germany";"Gender"
"84";"2021-03-18";"2021";"11";"223";"128";"95";"0";"Germany";"Gender"
"85";"2020-03-18";"2020";"12";"63";"46";"17";"0";"Germany";"Gender"
"86";"2021-04-27";"2021";"17";"188";"113";"74";"1";"Germany";"Gender"
"87";"2020-12-15";"2020";"51";"999";"526";"471";"2";"Germany";"Gender"
"88";"2020-10-28";"2020";"44";"241";"138";"103";"0";"Germany";"Gender"
"89";"2020-12-31";"2020";"53";"767";"371";"394";"2";"Germany";"Gender"
"90";"2021-02-08";"2021";"06";"239";"135";"102";"2";"Germany";"Gender"
"91";"2021-03-30";"2021";"13";"272";"161";"111";"0";"Germany";"Gender"
"92";"2020-11-12";"2020";"46";"420";"212";"206";"2";"Germany";"Gender"
"93";"2021-01-29";"2021";"04";"470";"227";"240";"3";"Germany";"Gender"
"94";"2021-02-04";"2021";"05";"431";"234";"197";"0";"Germany";"Gender"
"95";"2020-12-19";"2020";"51";"761";"358";"403";"0";"Germany";"Gender"
"96";"2020-04-02";"2020";"14";"415";"211";"204";"0";"Germany";"Gender"
"97";"2020-07-17";"2020";"29";"6";"3";"3";"0";"Germany";"Gender"
"98";"2021-04-30";"2021";"17";"138";"80";"57";"1";"Germany";"Gender"
"99";"2021-01-22";"2021";"03";"615";"321";"291";"3";"Germany";"Gender"
"100";"2020-12-09";"2020";"50";"832";"415";"417";"0";"Germany";"Gender"
"101";"2021-03-17";"2021";"11";"203";"104";"99";"0";"Germany";"Gender"
"102";"2020-11-09";"2020";"46";"312";"192";"120";"0";"Germany";"Gender"
"103";"2020-12-30";"2020";"53";"1262";"638";"622";"2";"Germany";"Gender"
"104";"2021-01-09";"2021";"01";"585";"268";"314";"3";"Germany";"Gender"
"105";"2021-05-12";"2021";"19";"61";"38";"22";"1";"Germany";"Gender"
"106";"2020-10-19";"2020";"43";"86";"49";"37";"0";"Germany";"Gender"
"107";"2020-12-01";"2020";"49";"649";"317";"331";"1";"Germany";"Gender"
"108";"2020-12-06";"2020";"49";"347";"166";"181";"0";"Germany";"Gender"
