"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"1";"60";"79";"Germany";"2020-03-24";"2020";"13";58;14;0;72;"Germany";"AgeGender"
"2";"80";NA;"Germany";"2020-03-24";"2020";"13";60;28;0;88;"Germany";"AgeGender"
"3";"35";"59";"Germany";"2020-03-24";"2020";"13";5;2;0;7;"Germany";"AgeGender"
"4";"15";"34";"Germany";"2020-03-24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"5";"0";"4";"Germany";"2020-03-24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"6";NA;NA;"Germany";"2020-03-24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"7";NA;NA;"Germany";"2020-03-24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"8";"60";"79";"Germany";"2020-04-10";"2020";"15";47;12;0;59;"Germany";"AgeGender"
"9";"80";NA;"Germany";"2020-04-10";"2020";"15";62;81;0;143;"Germany";"AgeGender"
"10";"35";"59";"Germany";"2020-04-10";"2020";"15";5;1;0;6;"Germany";"AgeGender"
"11";"15";"34";"Germany";"2020-04-10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"12";"0";"4";"Germany";"2020-04-10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"13";NA;NA;"Germany";"2020-04-10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"14";NA;NA;"Germany";"2020-04-10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"15";"60";"79";"Germany";"2020-12-12";"2020";"50";123;64;0;187;"Germany";"AgeGender"
"16";"80";NA;"Germany";"2020-12-12";"2020";"50";243;299;1;543;"Germany";"AgeGender"
"17";"35";"59";"Germany";"2020-12-12";"2020";"50";11;3;0;14;"Germany";"AgeGender"
"18";"15";"34";"Germany";"2020-12-12";"2020";"50";1;0;0;1;"Germany";"AgeGender"
"19";"0";"4";"Germany";"2020-12-12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"20";NA;NA;"Germany";"2020-12-12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"21";NA;NA;"Germany";"2020-12-12";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"22";"60";"79";"Germany";"2020-12-21";"2020";"52";169;89;2;260;"Germany";"AgeGender"
"23";"80";NA;"Germany";"2020-12-21";"2020";"52";266;332;1;599;"Germany";"AgeGender"
"24";"35";"59";"Germany";"2020-12-21";"2020";"52";16;7;0;23;"Germany";"AgeGender"
"25";"15";"34";"Germany";"2020-12-21";"2020";"52";1;0;0;1;"Germany";"AgeGender"
"26";"0";"4";"Germany";"2020-12-21";"2020";"52";0;0;0;0;"Germany";"AgeGender"
"27";NA;NA;"Germany";"2020-12-21";"2020";"52";0;0;0;0;"Germany";"AgeGender"
"28";NA;NA;"Germany";"2020-12-21";"2020";"52";1;0;0;1;"Germany";"AgeGender"
"29";"60";"79";"Germany";"2021-01-04";"2021";"01";142;73;2;217;"Germany";"AgeGender"
"30";"80";NA;"Germany";"2021-01-04";"2021";"01";239;262;3;504;"Germany";"AgeGender"
"31";"35";"59";"Germany";"2021-01-04";"2021";"01";16;4;0;20;"Germany";"AgeGender"
"32";"15";"34";"Germany";"2021-01-04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"33";"0";"4";"Germany";"2021-01-04";"2021";"01";0;1;0;1;"Germany";"AgeGender"
"34";NA;NA;"Germany";"2021-01-04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"35";NA;NA;"Germany";"2021-01-04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"36";"60";"79";"Germany";"2021-01-14";"2021";"02";124;75;0;199;"Germany";"AgeGender"
"37";"80";NA;"Germany";"2021-01-14";"2021";"02";299;398;0;697;"Germany";"AgeGender"
"38";"35";"59";"Germany";"2021-01-14";"2021";"02";15;3;0;18;"Germany";"AgeGender"
"39";"15";"34";"Germany";"2021-01-14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"40";"0";"4";"Germany";"2021-01-14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"41";NA;NA;"Germany";"2021-01-14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"42";NA;NA;"Germany";"2021-01-14";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"43";"60";"79";"Germany";"2021-01-26";"2021";"04";113;46;1;160;"Germany";"AgeGender"
"44";"80";NA;"Germany";"2021-01-26";"2021";"04";166;214;2;382;"Germany";"AgeGender"
"45";"35";"59";"Germany";"2021-01-26";"2021";"04";6;4;0;10;"Germany";"AgeGender"
"46";"15";"34";"Germany";"2021-01-26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"47";"0";"4";"Germany";"2021-01-26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"48";NA;NA;"Germany";"2021-01-26";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"49";NA;NA;"Germany";"2021-01-26";"2021";"04";1;0;0;1;"Germany";"AgeGender"
"50";"60";"79";"Germany";"2021-02-21";"2021";"07";23;16;1;40;"Germany";"AgeGender"
"51";"80";NA;"Germany";"2021-02-21";"2021";"07";22;22;0;44;"Germany";"AgeGender"
"52";"35";"59";"Germany";"2021-02-21";"2021";"07";1;0;0;1;"Germany";"AgeGender"
"53";"15";"34";"Germany";"2021-02-21";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"54";"0";"4";"Germany";"2021-02-21";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"55";NA;NA;"Germany";"2021-02-21";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"56";NA;NA;"Germany";"2021-02-21";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"57";"60";"79";"Germany";"2021-02-22";"2021";"08";38;18;0;56;"Germany";"AgeGender"
"58";"80";NA;"Germany";"2021-02-22";"2021";"08";40;55;0;95;"Germany";"AgeGender"
"59";"35";"59";"Germany";"2021-02-22";"2021";"08";1;3;0;4;"Germany";"AgeGender"
"60";"15";"34";"Germany";"2021-02-22";"2021";"08";0;0;0;0;"Germany";"AgeGender"
"61";"0";"4";"Germany";"2021-02-22";"2021";"08";0;0;0;0;"Germany";"AgeGender"
"62";NA;NA;"Germany";"2021-02-22";"2021";"08";0;0;0;0;"Germany";"AgeGender"
"63";NA;NA;"Germany";"2021-02-22";"2021";"08";0;0;0;0;"Germany";"AgeGender"
"64";"60";"79";"Germany";"2021-01-28";"2021";"04";93;38;1;132;"Germany";"AgeGender"
"65";"80";NA;"Germany";"2021-01-28";"2021";"04";129;176;2;307;"Germany";"AgeGender"
"66";"35";"59";"Germany";"2021-01-28";"2021";"04";6;8;0;14;"Germany";"AgeGender"
"67";"15";"34";"Germany";"2021-01-28";"2021";"04";3;0;0;3;"Germany";"AgeGender"
"68";"0";"4";"Germany";"2021-01-28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"69";NA;NA;"Germany";"2021-01-28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"70";NA;NA;"Germany";"2021-01-28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"71";"60";"79";"Germany";"2021-03-11";"2021";"10";23;11;0;34;"Germany";"AgeGender"
"72";"80";NA;"Germany";"2021-03-11";"2021";"10";30;37;1;68;"Germany";"AgeGender"
"73";"35";"59";"Germany";"2021-03-11";"2021";"10";3;3;0;6;"Germany";"AgeGender"
"74";"15";"34";"Germany";"2021-03-11";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"75";"0";"4";"Germany";"2021-03-11";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"76";NA;NA;"Germany";"2021-03-11";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"77";NA;NA;"Germany";"2021-03-11";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"78";"60";"79";"Germany";"2020-03-31";"2020";"14";97;44;0;141;"Germany";"AgeGender"
"79";"80";NA;"Germany";"2020-03-31";"2020";"14";115;104;0;219;"Germany";"AgeGender"
"80";"35";"59";"Germany";"2020-03-31";"2020";"14";12;5;0;17;"Germany";"AgeGender"
"81";"15";"34";"Germany";"2020-03-31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"82";"0";"4";"Germany";"2020-03-31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"83";NA;NA;"Germany";"2020-03-31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"84";NA;NA;"Germany";"2020-03-31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"85";"60";"79";"Germany";"2020-12-11";"2020";"50";137;84;0;221;"Germany";"AgeGender"
"86";"80";NA;"Germany";"2020-12-11";"2020";"50";297;409;0;706;"Germany";"AgeGender"
"87";"35";"59";"Germany";"2020-12-11";"2020";"50";20;5;0;25;"Germany";"AgeGender"
"88";"15";"34";"Germany";"2020-12-11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"89";"0";"4";"Germany";"2020-12-11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"90";NA;NA;"Germany";"2020-12-11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"91";NA;NA;"Germany";"2020-12-11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"92";"60";"79";"Germany";"2020-12-14";"2020";"51";146;52;0;198;"Germany";"AgeGender"
"93";"80";NA;"Germany";"2020-12-14";"2020";"51";261;324;1;586;"Germany";"AgeGender"
"94";"35";"59";"Germany";"2020-12-14";"2020";"51";13;6;0;19;"Germany";"AgeGender"
"95";"15";"34";"Germany";"2020-12-14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"96";"0";"4";"Germany";"2020-12-14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"97";NA;NA;"Germany";"2020-12-14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"98";NA;NA;"Germany";"2020-12-14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"99";"60";"79";"Germany";"2021-01-10";"2021";"01";59;40;1;100;"Germany";"AgeGender"
"100";"80";NA;"Germany";"2021-01-10";"2021";"01";117;176;1;294;"Germany";"AgeGender"
"101";"35";"59";"Germany";"2021-01-10";"2021";"01";4;2;0;6;"Germany";"AgeGender"
"102";"15";"34";"Germany";"2021-01-10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"103";"0";"4";"Germany";"2021-01-10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"104";NA;NA;"Germany";"2021-01-10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"105";NA;NA;"Germany";"2021-01-10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"106";"60";"79";"Germany";"2021-01-11";"2021";"02";84;56;0;140;"Germany";"AgeGender"
"107";"80";NA;"Germany";"2021-01-11";"2021";"02";166;221;6;393;"Germany";"AgeGender"
"108";"35";"59";"Germany";"2021-01-11";"2021";"02";18;5;0;23;"Germany";"AgeGender"
"109";"15";"34";"Germany";"2021-01-11";"2021";"02";1;0;0;1;"Germany";"AgeGender"
"110";"0";"4";"Germany";"2021-01-11";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"111";NA;NA;"Germany";"2021-01-11";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"112";NA;NA;"Germany";"2021-01-11";"2021";"02";0;0;1;1;"Germany";"AgeGender"
"113";"60";"79";"Germany";"2021-01-15";"2021";"02";125;71;0;196;"Germany";"AgeGender"
"114";"80";NA;"Germany";"2021-01-15";"2021";"02";239;317;1;557;"Germany";"AgeGender"
"115";"35";"59";"Germany";"2021-01-15";"2021";"02";11;6;0;17;"Germany";"AgeGender"
"116";"15";"34";"Germany";"2021-01-15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"117";"0";"4";"Germany";"2021-01-15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"118";NA;NA;"Germany";"2021-01-15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"119";NA;NA;"Germany";"2021-01-15";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"120";"60";"79";"Germany";"2021-01-20";"2021";"03";128;69;0;197;"Germany";"AgeGender"
"121";"80";NA;"Germany";"2021-01-20";"2021";"03";222;301;3;526;"Germany";"AgeGender"
"122";"35";"59";"Germany";"2021-01-20";"2021";"03";8;8;0;16;"Germany";"AgeGender"
"123";"15";"34";"Germany";"2021-01-20";"2021";"03";0;1;0;1;"Germany";"AgeGender"
"124";"0";"4";"Germany";"2021-01-20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"125";NA;NA;"Germany";"2021-01-20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"126";NA;NA;"Germany";"2021-01-20";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"127";"60";"79";"Germany";"2021-02-02";"2021";"05";53;39;0;92;"Germany";"AgeGender"
"128";"80";NA;"Germany";"2021-02-02";"2021";"05";112;152;0;264;"Germany";"AgeGender"
"129";"35";"59";"Germany";"2021-02-02";"2021";"05";7;3;0;10;"Germany";"AgeGender"
"130";"15";"34";"Germany";"2021-02-02";"2021";"05";0;1;0;1;"Germany";"AgeGender"
"131";"0";"4";"Germany";"2021-02-02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"132";NA;NA;"Germany";"2021-02-02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"133";NA;NA;"Germany";"2021-02-02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"134";"60";"79";"Germany";"2021-02-14";"2021";"06";21;8;0;29;"Germany";"AgeGender"
"135";"80";NA;"Germany";"2021-02-14";"2021";"06";37;32;0;69;"Germany";"AgeGender"
"136";"35";"59";"Germany";"2021-02-14";"2021";"06";1;1;0;2;"Germany";"AgeGender"
"137";"15";"34";"Germany";"2021-02-14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"138";"0";"4";"Germany";"2021-02-14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"139";NA;NA;"Germany";"2021-02-14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"140";NA;NA;"Germany";"2021-02-14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"141";"60";"79";"Germany";"2021-02-16";"2021";"07";43;33;1;77;"Germany";"AgeGender"
"142";"80";NA;"Germany";"2021-02-16";"2021";"07";86;85;0;171;"Germany";"AgeGender"
"143";"35";"59";"Germany";"2021-02-16";"2021";"07";4;3;0;7;"Germany";"AgeGender"
"144";"15";"34";"Germany";"2021-02-16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"145";"0";"4";"Germany";"2021-02-16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"146";NA;NA;"Germany";"2021-02-16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"147";NA;NA;"Germany";"2021-02-16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"148";"60";"79";"Germany";"2021-03-10";"2021";"10";19;12;0;31;"Germany";"AgeGender"
"149";"80";NA;"Germany";"2021-03-10";"2021";"10";34;34;0;68;"Germany";"AgeGender"
"150";"35";"59";"Germany";"2021-03-10";"2021";"10";5;5;0;10;"Germany";"AgeGender"
"151";"15";"34";"Germany";"2021-03-10";"2021";"10";1;0;0;1;"Germany";"AgeGender"
"152";"0";"4";"Germany";"2021-03-10";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"153";NA;NA;"Germany";"2021-03-10";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"154";NA;NA;"Germany";"2021-03-10";"2021";"10";0;0;0;0;"Germany";"AgeGender"
"155";"60";"79";"Germany";"2020-11-22";"2020";"47";49;22;0;71;"Germany";"AgeGender"
"156";"80";NA;"Germany";"2020-11-22";"2020";"47";98;96;0;194;"Germany";"AgeGender"
"157";"35";"59";"Germany";"2020-11-22";"2020";"47";7;2;0;9;"Germany";"AgeGender"
"158";"15";"34";"Germany";"2020-11-22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"159";"0";"4";"Germany";"2020-11-22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"160";NA;NA;"Germany";"2020-11-22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"161";NA;NA;"Germany";"2020-11-22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"162";"60";"79";"Germany";"2020-12-29";"2020";"53";190;107;3;300;"Germany";"AgeGender"
"163";"80";NA;"Germany";"2020-12-29";"2020";"53";345;521;2;868;"Germany";"AgeGender"
"164";"35";"59";"Germany";"2020-12-29";"2020";"53";22;13;0;35;"Germany";"AgeGender"
"165";"15";"34";"Germany";"2020-12-29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"166";"0";"4";"Germany";"2020-12-29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"167";NA;NA;"Germany";"2020-12-29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"168";NA;NA;"Germany";"2020-12-29";"2020";"53";0;0;1;1;"Germany";"AgeGender"
"169";"60";"79";"Germany";"2021-01-21";"2021";"03";103;56;0;159;"Germany";"AgeGender"
"170";"80";NA;"Germany";"2021-01-21";"2021";"03";207;277;1;485;"Germany";"AgeGender"
"171";"35";"59";"Germany";"2021-01-21";"2021";"03";11;3;0;14;"Germany";"AgeGender"
"172";"15";"34";"Germany";"2021-01-21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"173";"0";"4";"Germany";"2021-01-21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"174";NA;NA;"Germany";"2021-01-21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"175";NA;NA;"Germany";"2021-01-21";"2021";"03";0;0;1;1;"Germany";"AgeGender"
"176";"60";"79";"Germany";"2021-03-02";"2021";"09";26;23;0;49;"Germany";"AgeGender"
"177";"80";NA;"Germany";"2021-03-02";"2021";"09";40;44;0;84;"Germany";"AgeGender"
"178";"35";"59";"Germany";"2021-03-02";"2021";"09";5;7;0;12;"Germany";"AgeGender"
"179";"15";"34";"Germany";"2021-03-02";"2021";"09";0;0;0;0;"Germany";"AgeGender"
"180";"0";"4";"Germany";"2021-03-02";"2021";"09";0;0;0;0;"Germany";"AgeGender"
"181";NA;NA;"Germany";"2021-03-02";"2021";"09";0;0;0;0;"Germany";"AgeGender"
"182";NA;NA;"Germany";"2021-03-02";"2021";"09";0;0;0;0;"Germany";"AgeGender"
"183";"60";"79";"Germany";"2020-03-22";"2020";"12";28;8;0;36;"Germany";"AgeGender"
"184";"80";NA;"Germany";"2020-03-22";"2020";"12";20;14;0;34;"Germany";"AgeGender"
"185";"35";"59";"Germany";"2020-03-22";"2020";"12";7;1;0;8;"Germany";"AgeGender"
"186";"15";"34";"Germany";"2020-03-22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"187";"0";"4";"Germany";"2020-03-22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"188";NA;NA;"Germany";"2020-03-22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"189";NA;NA;"Germany";"2020-03-22";"2020";"12";0;0;0;0;"Germany";"AgeGender"
"190";"60";"79";"Germany";"2020-03-23";"2020";"13";37;19;0;56;"Germany";"AgeGender"
"191";"80";NA;"Germany";"2020-03-23";"2020";"13";39;27;0;66;"Germany";"AgeGender"
"192";"35";"59";"Germany";"2020-03-23";"2020";"13";6;4;0;10;"Germany";"AgeGender"
"193";"15";"34";"Germany";"2020-03-23";"2020";"13";1;0;0;1;"Germany";"AgeGender"
"194";"0";"4";"Germany";"2020-03-23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"195";NA;NA;"Germany";"2020-03-23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"196";NA;NA;"Germany";"2020-03-23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"197";"60";"79";"Germany";"2020-03-29";"2020";"13";45;19;0;64;"Germany";"AgeGender"
"198";"80";NA;"Germany";"2020-03-29";"2020";"13";46;49;0;95;"Germany";"AgeGender"
"199";"35";"59";"Germany";"2020-03-29";"2020";"13";6;1;0;7;"Germany";"AgeGender"
"200";"15";"34";"Germany";"2020-03-29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"201";"0";"4";"Germany";"2020-03-29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"202";NA;NA;"Germany";"2020-03-29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"203";NA;NA;"Germany";"2020-03-29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"204";"60";"79";"Germany";"2020-11-04";"2020";"45";49;28;0;77;"Germany";"AgeGender"
"205";"80";NA;"Germany";"2020-11-04";"2020";"45";95;123;0;218;"Germany";"AgeGender"
"206";"35";"59";"Germany";"2020-11-04";"2020";"45";6;4;0;10;"Germany";"AgeGender"
"207";"15";"34";"Germany";"2020-11-04";"2020";"45";0;1;0;1;"Germany";"AgeGender"
"208";"0";"4";"Germany";"2020-11-04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"209";NA;NA;"Germany";"2020-11-04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"210";NA;NA;"Germany";"2020-11-04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"211";"60";"79";"Germany";"2020-11-16";"2020";"47";80;47;0;127;"Germany";"AgeGender"
"212";"80";NA;"Germany";"2020-11-16";"2020";"47";133;168;0;301;"Germany";"AgeGender"
"213";"35";"59";"Germany";"2020-11-16";"2020";"47";9;5;0;14;"Germany";"AgeGender"
"214";"15";"34";"Germany";"2020-11-16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"215";"0";"4";"Germany";"2020-11-16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"216";NA;NA;"Germany";"2020-11-16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"217";NA;NA;"Germany";"2020-11-16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"218";"60";"79";"Germany";"2020-11-27";"2020";"48";85;54;0;139;"Germany";"AgeGender"
"219";"80";NA;"Germany";"2020-11-27";"2020";"48";189;262;0;451;"Germany";"AgeGender"
"220";"35";"59";"Germany";"2020-11-27";"2020";"48";14;8;0;22;"Germany";"AgeGender"
"221";"15";"34";"Germany";"2020-11-27";"2020";"48";1;1;0;2;"Germany";"AgeGender"
"222";"0";"4";"Germany";"2020-11-27";"2020";"48";0;1;0;1;"Germany";"AgeGender"
"223";NA;NA;"Germany";"2020-11-27";"2020";"48";0;0;0;0;"Germany";"AgeGender"
"224";NA;NA;"Germany";"2020-11-27";"2020";"48";0;1;0;1;"Germany";"AgeGender"
"225";"60";"79";"Germany";"2020-12-18";"2020";"51";161;83;0;244;"Germany";"AgeGender"
"226";"80";NA;"Germany";"2020-12-18";"2020";"51";321;414;5;740;"Germany";"AgeGender"
"227";"35";"59";"Germany";"2020-12-18";"2020";"51";14;6;0;20;"Germany";"AgeGender"
"228";"15";"34";"Germany";"2020-12-18";"2020";"51";1;0;0;1;"Germany";"AgeGender"
"229";"0";"4";"Germany";"2020-12-18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"230";NA;NA;"Germany";"2020-12-18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"231";NA;NA;"Germany";"2020-12-18";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"232";"60";"79";"Germany";"2021-01-01";"2021";"53";65;38;0;103;"Germany";"AgeGender"
"233";"80";NA;"Germany";"2021-01-01";"2021";"53";110;174;2;286;"Germany";"AgeGender"
"234";"35";"59";"Germany";"2021-01-01";"2021";"53";7;4;0;11;"Germany";"AgeGender"
"235";"15";"34";"Germany";"2021-01-01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"236";"0";"4";"Germany";"2021-01-01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"237";NA;NA;"Germany";"2021-01-01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"238";NA;NA;"Germany";"2021-01-01";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"239";"60";"79";"Germany";"2021-01-02";"2021";"53";102;56;0;158;"Germany";"AgeGender"
"240";"80";NA;"Germany";"2021-01-02";"2021";"53";172;209;4;385;"Germany";"AgeGender"
"241";"35";"59";"Germany";"2021-01-02";"2021";"53";15;5;0;20;"Germany";"AgeGender"
"242";"15";"34";"Germany";"2021-01-02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"243";"0";"4";"Germany";"2021-01-02";"2021";"53";1;0;0;1;"Germany";"AgeGender"
"244";NA;NA;"Germany";"2021-01-02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"245";NA;NA;"Germany";"2021-01-02";"2021";"53";0;0;0;0;"Germany";"AgeGender"
"246";"60";"79";"Germany";"2021-01-12";"2021";"02";145;88;1;234;"Germany";"AgeGender"
"247";"80";NA;"Germany";"2021-01-12";"2021";"02";277;321;3;601;"Germany";"AgeGender"
"248";"35";"59";"Germany";"2021-01-12";"2021";"02";11;7;0;18;"Germany";"AgeGender"
"249";"15";"34";"Germany";"2021-01-12";"2021";"02";1;0;0;1;"Germany";"AgeGender"
"250";"0";"4";"Germany";"2021-01-12";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"251";NA;NA;"Germany";"2021-01-12";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"252";NA;NA;"Germany";"2021-01-12";"2021";"02";1;0;0;1;"Germany";"AgeGender"
"253";"60";"79";"Germany";"2021-01-17";"2021";"02";47;28;0;75;"Germany";"AgeGender"
"254";"80";NA;"Germany";"2021-01-17";"2021";"02";113;116;1;230;"Germany";"AgeGender"
"255";"35";"59";"Germany";"2021-01-17";"2021";"02";6;4;0;10;"Germany";"AgeGender"
"256";"15";"34";"Germany";"2021-01-17";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"257";"0";"4";"Germany";"2021-01-17";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"258";NA;NA;"Germany";"2021-01-17";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"259";NA;NA;"Germany";"2021-01-17";"2021";"02";0;0;0;0;"Germany";"AgeGender"
"260";"60";"79";"Germany";"2021-01-18";"2021";"03";96;41;0;137;"Germany";"AgeGender"
"261";"80";NA;"Germany";"2021-01-18";"2021";"03";169;189;3;361;"Germany";"AgeGender"
"262";"35";"59";"Germany";"2021-01-18";"2021";"03";10;4;0;14;"Germany";"AgeGender"
"263";"15";"34";"Germany";"2021-01-18";"2021";"03";1;0;0;1;"Germany";"AgeGender"
"264";"0";"4";"Germany";"2021-01-18";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"265";NA;NA;"Germany";"2021-01-18";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"266";NA;NA;"Germany";"2021-01-18";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"267";"60";"79";"Germany";"2021-01-30";"2021";"04";56;23;0;79;"Germany";"AgeGender"
"268";"80";NA;"Germany";"2021-01-30";"2021";"04";93;98;0;191;"Germany";"AgeGender"
"269";"35";"59";"Germany";"2021-01-30";"2021";"04";8;3;0;11;"Germany";"AgeGender"
"270";"15";"34";"Germany";"2021-01-30";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"271";"0";"4";"Germany";"2021-01-30";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"272";NA;NA;"Germany";"2021-01-30";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"273";NA;NA;"Germany";"2021-01-30";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"274";"60";"79";"Germany";"2021-01-31";"2021";"04";27;21;0;48;"Germany";"AgeGender"
"275";"80";NA;"Germany";"2021-01-31";"2021";"04";67;54;0;121;"Germany";"AgeGender"
"276";"35";"59";"Germany";"2021-01-31";"2021";"04";3;1;0;4;"Germany";"AgeGender"
"277";"15";"34";"Germany";"2021-01-31";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"278";"0";"4";"Germany";"2021-01-31";"2021";"04";0;0;0;0;"Germany";"AgeGender"
