"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"1";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/28";"2021";"04";3;2;0;5;"Germany";"AgeGender"
"2";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/28";"2021";"04";4;6;0;10;"Germany";"AgeGender"
"3";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"4";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"5";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"6";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"7";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/28";"2021";"04";0;0;0;0;"Germany";"AgeGender"
"8";"Schleswig-Holstein";"60";"79";"Germany";"2020/03/31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"9";"Schleswig-Holstein";"80";NA;"Germany";"2020/03/31";"2020";"14";3;2;0;5;"Germany";"AgeGender"
"10";"Schleswig-Holstein";"35";"59";"Germany";"2020/03/31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"11";"Schleswig-Holstein";"15";"34";"Germany";"2020/03/31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"12";"Schleswig-Holstein";"5";"14";"Germany";"2020/03/31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"13";"Schleswig-Holstein";NA;NA;"Germany";"2020/03/31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"14";"Schleswig-Holstein";"0";"4";"Germany";"2020/03/31";"2020";"14";0;0;0;0;"Germany";"AgeGender"
"15";"Schleswig-Holstein";"60";"79";"Germany";"2020/12/11";"2020";"50";0;1;0;1;"Germany";"AgeGender"
"16";"Schleswig-Holstein";"80";NA;"Germany";"2020/12/11";"2020";"50";3;1;0;4;"Germany";"AgeGender"
"17";"Schleswig-Holstein";"35";"59";"Germany";"2020/12/11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"18";"Schleswig-Holstein";"15";"34";"Germany";"2020/12/11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"19";"Schleswig-Holstein";"5";"14";"Germany";"2020/12/11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"20";"Schleswig-Holstein";NA;NA;"Germany";"2020/12/11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"21";"Schleswig-Holstein";"0";"4";"Germany";"2020/12/11";"2020";"50";0;0;0;0;"Germany";"AgeGender"
"22";"Schleswig-Holstein";"60";"79";"Germany";"2020/12/14";"2020";"51";1;0;0;1;"Germany";"AgeGender"
"23";"Schleswig-Holstein";"80";NA;"Germany";"2020/12/14";"2020";"51";3;5;0;8;"Germany";"AgeGender"
"24";"Schleswig-Holstein";"35";"59";"Germany";"2020/12/14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"25";"Schleswig-Holstein";"15";"34";"Germany";"2020/12/14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"26";"Schleswig-Holstein";"5";"14";"Germany";"2020/12/14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"27";"Schleswig-Holstein";NA;NA;"Germany";"2020/12/14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"28";"Schleswig-Holstein";"0";"4";"Germany";"2020/12/14";"2020";"51";0;0;0;0;"Germany";"AgeGender"
"29";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/04";"2021";"01";2;4;0;6;"Germany";"AgeGender"
"30";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/04";"2021";"01";4;5;0;9;"Germany";"AgeGender"
"31";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"32";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"33";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"34";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"35";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/04";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"36";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/10";"2021";"01";3;0;0;3;"Germany";"AgeGender"
"37";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/10";"2021";"01";5;6;0;11;"Germany";"AgeGender"
"38";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"39";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"40";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"41";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"42";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/10";"2021";"01";0;0;0;0;"Germany";"AgeGender"
"43";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/11";"2021";"02";1;1;0;2;"Germany";"AgeGender"
"44";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/11";"2021";"02";8;4;0;12;"Germany";"AgeGender"
