"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"1";"0";"9";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"2";"10";"19";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"3";"20";"29";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"4";"30";"39";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"5";"40";"49";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"6";"50";"59";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"7";"60";"69";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"8";"70";"79";"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"9";"80";NA;"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"10";NA;NA;"Spain";"2020-01-01";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"11";"0";"9";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"12";"10";"19";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"13";"20";"29";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"14";"30";"39";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"15";"40";"49";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"16";"50";"59";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"17";"60";"69";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"18";"70";"79";"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"19";"80";NA;"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"20";NA;NA;"Spain";"2020-01-02";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"21";"0";"9";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"22";"10";"19";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"23";"20";"29";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"24";"30";"39";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"25";"40";"49";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"26";"50";"59";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"27";"60";"69";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"28";"70";"79";"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"29";"80";NA;"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"30";NA;NA;"Spain";"2020-01-03";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"31";"0";"9";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"32";"10";"19";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"33";"20";"29";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"34";"30";"39";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"35";"40";"49";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"36";"50";"59";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"37";"60";"69";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"38";"70";"79";"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"39";"80";NA;"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"40";NA;NA;"Spain";"2020-01-04";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"41";"0";"9";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"42";"10";"19";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"43";"20";"29";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"44";"30";"39";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"45";"40";"49";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"46";"50";"59";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"47";"60";"69";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"48";"70";"79";"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"49";"80";NA;"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"50";NA;NA;"Spain";"2020-01-05";"2020";"01";0;0;0;0;"Spain";"AgeGender"
"51";"0";"9";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"52";"10";"19";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"53";"20";"29";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"54";"30";"39";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"55";"40";"49";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"56";"50";"59";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"57";"60";"69";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"58";"70";"79";"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"59";"80";NA;"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"60";NA;NA;"Spain";"2020-01-06";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"61";"0";"9";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"62";"10";"19";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"63";"20";"29";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"64";"30";"39";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"65";"40";"49";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"66";"50";"59";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"67";"60";"69";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"68";"70";"79";"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"69";"80";NA;"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"70";NA;NA;"Spain";"2020-01-07";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"71";"0";"9";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"72";"10";"19";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"73";"20";"29";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"74";"30";"39";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"75";"40";"49";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"76";"50";"59";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"77";"60";"69";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"78";"70";"79";"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"79";"80";NA;"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"80";NA;NA;"Spain";"2020-01-08";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"81";"0";"9";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"82";"10";"19";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"83";"20";"29";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"84";"30";"39";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"85";"40";"49";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"86";"50";"59";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"87";"60";"69";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"88";"70";"79";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"89";"80";NA;"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
