"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"1";"18670";"2020";"11";"1";"0";"1";"0";"Sweden";"Gender"
"2";"18670";"2020";"11";"1";"0";"1";"0";"Sweden";"Gender"
"3";"18670";"2020";"11";"1";"1";"0";"0";"Sweden";"Gender"
"4";"18670";"2020";"11";"2";"1";"1";"0";"Sweden";"Gender"
"5";"18670";"2020";"12";"2";"1";"1";"0";"Sweden";"Gender"
"6";"18670";"2020";"12";"1";"1";"0";"0";"Sweden";"Gender"
"7";"18670";"2020";"12";"6";"4";"2";"0";"Sweden";"Gender"
"8";"18670";"2020";"12";"7";"3";"4";"0";"Sweden";"Gender"
"9";"18670";"2020";"12";"9";"5";"4";"0";"Sweden";"Gender"
"10";"18670";"2020";"12";"8";"6";"2";"0";"Sweden";"Gender"
"11";"18670";"2020";"12";"11";"6";"5";"0";"Sweden";"Gender"
"12";"18670";"2020";"13";"11";"7";"4";"0";"Sweden";"Gender"
"13";"18670";"2020";"13";"21";"10";"11";"0";"Sweden";"Gender"
"14";"18670";"2020";"13";"22";"15";"7";"0";"Sweden";"Gender"
"15";"18670";"2020";"13";"31";"17";"14";"0";"Sweden";"Gender"
"16";"18670";"2020";"13";"32";"21";"11";"0";"Sweden";"Gender"
"17";"18670";"2020";"13";"35";"21";"14";"0";"Sweden";"Gender"
"18";"18670";"2020";"13";"38";"24";"14";"0";"Sweden";"Gender"
"19";"18670";"2020";"14";"45";"25";"20";"0";"Sweden";"Gender"
"20";"18670";"2020";"14";"48";"26";"22";"0";"Sweden";"Gender"
"21";"18670";"2020";"14";"53";"40";"13";"0";"Sweden";"Gender"
"22";"18670";"2020";"14";"70";"46";"24";"0";"Sweden";"Gender"
"23";"18670";"2020";"14";"80";"45";"35";"0";"Sweden";"Gender"
"24";"18670";"2020";"14";"70";"36";"34";"0";"Sweden";"Gender"
"25";"18670";"2020";"14";"85";"53";"32";"0";"Sweden";"Gender"
"26";"18670";"2020";"15";"90";"57";"33";"0";"Sweden";"Gender"
"27";"18670";"2020";"15";"84";"35";"49";"0";"Sweden";"Gender"
"28";"18670";"2020";"15";"115";"69";"46";"0";"Sweden";"Gender"
"29";"18670";"2020";"15";"86";"41";"45";"0";"Sweden";"Gender"
"30";"18670";"2020";"15";"90";"56";"34";"0";"Sweden";"Gender"
"31";"18670";"2020";"15";"102";"50";"52";"0";"Sweden";"Gender"
"32";"18670";"2020";"15";"97";"57";"40";"0";"Sweden";"Gender"
"33";"18670";"2020";"16";"84";"45";"39";"0";"Sweden";"Gender"
"34";"18670";"2020";"16";"91";"48";"43";"0";"Sweden";"Gender"
"35";"18670";"2020";"16";"115";"57";"58";"0";"Sweden";"Gender"
"36";"18670";"2020";"16";"111";"66";"45";"0";"Sweden";"Gender"
"37";"18670";"2020";"16";"83";"52";"31";"0";"Sweden";"Gender"
"38";"18670";"2020";"16";"86";"50";"36";"0";"Sweden";"Gender"
"39";"18670";"2020";"16";"87";"54";"33";"0";"Sweden";"Gender"
"40";"18670";"2020";"17";"85";"50";"35";"0";"Sweden";"Gender"
"41";"18670";"2020";"17";"62";"25";"37";"0";"Sweden";"Gender"
"42";"18670";"2020";"17";"77";"41";"36";"0";"Sweden";"Gender"
"43";"18670";"2020";"17";"86";"47";"39";"0";"Sweden";"Gender"
"44";"18670";"2020";"17";"89";"52";"37";"0";"Sweden";"Gender"
"45";"18670";"2020";"17";"73";"39";"34";"0";"Sweden";"Gender"
"46";"18670";"2020";"17";"74";"39";"35";"0";"Sweden";"Gender"
"47";"18670";"2020";"18";"74";"45";"29";"0";"Sweden";"Gender"
"48";"18670";"2020";"18";"83";"49";"34";"0";"Sweden";"Gender"
"49";"18670";"2020";"18";"83";"53";"30";"0";"Sweden";"Gender"
"50";"18670";"2020";"18";"78";"37";"41";"0";"Sweden";"Gender"
"51";"18670";"2020";"18";"78";"38";"40";"0";"Sweden";"Gender"
"52";"18670";"2020";"18";"72";"40";"32";"0";"Sweden";"Gender"
"53";"18670";"2020";"18";"75";"44";"31";"0";"Sweden";"Gender"
"54";"18670";"2020";"19";"84";"39";"45";"0";"Sweden";"Gender"
"55";"18670";"2020";"19";"72";"45";"27";"0";"Sweden";"Gender"
"56";"18670";"2020";"19";"73";"42";"31";"0";"Sweden";"Gender"
"57";"18670";"2020";"19";"80";"41";"39";"0";"Sweden";"Gender"
"58";"18670";"2020";"19";"60";"30";"30";"0";"Sweden";"Gender"
"59";"18670";"2020";"19";"68";"34";"34";"0";"Sweden";"Gender"
"60";"18670";"2020";"19";"73";"31";"42";"0";"Sweden";"Gender"
"61";"18670";"2020";"20";"65";"32";"33";"0";"Sweden";"Gender"
"62";"18670";"2020";"20";"61";"32";"29";"0";"Sweden";"Gender"
"63";"18670";"2020";"20";"50";"24";"26";"0";"Sweden";"Gender"
"64";"18670";"2020";"20";"46";"21";"25";"0";"Sweden";"Gender"
"65";"18670";"2020";"20";"58";"33";"25";"0";"Sweden";"Gender"
"66";"18670";"2020";"20";"48";"24";"24";"0";"Sweden";"Gender"
"67";"18670";"2020";"20";"52";"22";"30";"0";"Sweden";"Gender"
"68";"18670";"2020";"21";"59";"30";"29";"0";"Sweden";"Gender"
"69";"18670";"2020";"21";"41";"22";"19";"0";"Sweden";"Gender"
"70";"18670";"2020";"21";"52";"32";"20";"0";"Sweden";"Gender"
"71";"18670";"2020";"21";"53";"29";"24";"0";"Sweden";"Gender"
"72";"18670";"2020";"21";"56";"27";"29";"0";"Sweden";"Gender"
"73";"18670";"2020";"21";"55";"33";"22";"0";"Sweden";"Gender"
"74";"18670";"2020";"21";"44";"25";"19";"0";"Sweden";"Gender"
"75";"18670";"2020";"22";"42";"22";"20";"0";"Sweden";"Gender"
"76";"18670";"2020";"22";"28";"18";"10";"0";"Sweden";"Gender"
"77";"18670";"2020";"22";"38";"14";"24";"0";"Sweden";"Gender"
"78";"18670";"2020";"22";"40";"18";"22";"0";"Sweden";"Gender"
"79";"18670";"2020";"22";"40";"17";"23";"0";"Sweden";"Gender"
"80";"18670";"2020";"22";"38";"20";"18";"0";"Sweden";"Gender"
"81";"18670";"2020";"22";"46";"26";"20";"0";"Sweden";"Gender"
"82";"18670";"2020";"23";"39";"20";"19";"0";"Sweden";"Gender"
"83";"18670";"2020";"23";"36";"24";"12";"0";"Sweden";"Gender"
"84";"18670";"2020";"23";"28";"15";"13";"0";"Sweden";"Gender"
"85";"18670";"2020";"23";"43";"22";"21";"0";"Sweden";"Gender"
"86";"18670";"2020";"23";"37";"23";"14";"0";"Sweden";"Gender"
"87";"18670";"2020";"23";"29";"16";"13";"0";"Sweden";"Gender"
"88";"18670";"2020";"23";"33";"22";"11";"0";"Sweden";"Gender"
"89";"18670";"2020";"24";"38";"22";"16";"0";"Sweden";"Gender"
"90";"18670";"2020";"24";"33";"18";"15";"0";"Sweden";"Gender"
"91";"18670";"2020";"24";"39";"19";"20";"0";"Sweden";"Gender"
"92";"18670";"2020";"24";"35";"19";"16";"0";"Sweden";"Gender"
"93";"18670";"2020";"24";"29";"16";"13";"0";"Sweden";"Gender"
"94";"18670";"2020";"24";"33";"16";"17";"0";"Sweden";"Gender"
"95";"18670";"2020";"24";"27";"11";"16";"0";"Sweden";"Gender"
"96";"18670";"2020";"25";"30";"17";"13";"0";"Sweden";"Gender"
"97";"18670";"2020";"25";"28";"14";"14";"0";"Sweden";"Gender"
"98";"18670";"2020";"25";"32";"16";"16";"0";"Sweden";"Gender"
"99";"18670";"2020";"25";"29";"16";"13";"0";"Sweden";"Gender"
"100";"18670";"2020";"25";"30";"16";"14";"0";"Sweden";"Gender"
"101";"18670";"2020";"25";"29";"18";"11";"0";"Sweden";"Gender"
"102";"18670";"2020";"25";"22";"11";"11";"0";"Sweden";"Gender"
"103";"18670";"2020";"26";"20";"9";"11";"0";"Sweden";"Gender"
"104";"18670";"2020";"26";"25";"12";"13";"0";"Sweden";"Gender"
"105";"18670";"2020";"26";"22";"12";"10";"0";"Sweden";"Gender"
"106";"18670";"2020";"26";"23";"12";"11";"0";"Sweden";"Gender"
"107";"18670";"2020";"26";"11";"6";"5";"0";"Sweden";"Gender"
"108";"18670";"2020";"26";"14";"9";"5";"0";"Sweden";"Gender"
"109";"18670";"2020";"26";"23";"12";"11";"0";"Sweden";"Gender"
"110";"18670";"2020";"27";"16";"11";"5";"0";"Sweden";"Gender"
"111";"18670";"2020";"27";"20";"14";"6";"0";"Sweden";"Gender"
"112";"18670";"2020";"27";"15";"9";"6";"0";"Sweden";"Gender"
"113";"18670";"2020";"27";"15";"7";"8";"0";"Sweden";"Gender"
"114";"18670";"2020";"27";"8";"3";"5";"0";"Sweden";"Gender"
"115";"18670";"2020";"27";"15";"8";"7";"0";"Sweden";"Gender"
"116";"18670";"2020";"27";"9";"5";"4";"0";"Sweden";"Gender"
"117";"18670";"2020";"28";"15";"10";"5";"0";"Sweden";"Gender"
"118";"18670";"2020";"28";"12";"7";"5";"0";"Sweden";"Gender"
"119";"18670";"2020";"28";"10";"3";"7";"0";"Sweden";"Gender"
"120";"18670";"2020";"28";"15";"7";"8";"0";"Sweden";"Gender"
"121";"18670";"2020";"28";"14";"6";"8";"0";"Sweden";"Gender"
"122";"18670";"2020";"28";"10";"5";"5";"0";"Sweden";"Gender"
"123";"18670";"2020";"28";"8";"3";"5";"0";"Sweden";"Gender"
"124";"18670";"2020";"29";"12";"10";"2";"0";"Sweden";"Gender"
"125";"18670";"2020";"29";"8";"4";"4";"0";"Sweden";"Gender"
"126";"18670";"2020";"29";"6";"2";"4";"0";"Sweden";"Gender"
"127";"18670";"2020";"29";"6";"4";"2";"0";"Sweden";"Gender"
"128";"18670";"2020";"29";"7";"4";"3";"0";"Sweden";"Gender"
"129";"18670";"2020";"29";"11";"6";"5";"0";"Sweden";"Gender"
"130";"18670";"2020";"29";"7";"3";"4";"0";"Sweden";"Gender"
"131";"18670";"2020";"30";"6";"2";"4";"0";"Sweden";"Gender"
"132";"18670";"2020";"30";"7";"3";"4";"0";"Sweden";"Gender"
"133";"18670";"2020";"30";"6";"4";"2";"0";"Sweden";"Gender"
"134";"18670";"2020";"30";"5";"3";"2";"0";"Sweden";"Gender"
"135";"18670";"2020";"30";"3";"2";"1";"0";"Sweden";"Gender"
"136";"18670";"2020";"30";"1";"1";"0";"0";"Sweden";"Gender"
"137";"18670";"2020";"30";"2";"2";"0";"0";"Sweden";"Gender"
"138";"18670";"2020";"31";"6";"3";"3";"0";"Sweden";"Gender"
"139";"18670";"2020";"31";"4";"1";"3";"0";"Sweden";"Gender"
"140";"18670";"2020";"31";"1";"0";"1";"0";"Sweden";"Gender"
"141";"18670";"2020";"31";"2";"1";"1";"0";"Sweden";"Gender"
"142";"18670";"2020";"31";"2";"2";"0";"0";"Sweden";"Gender"
"143";"18670";"2020";"31";"3";"3";"0";"0";"Sweden";"Gender"
"144";"18670";"2020";"32";"4";"1";"3";"0";"Sweden";"Gender"
"145";"18670";"2020";"32";"2";"1";"1";"0";"Sweden";"Gender"
"146";"18670";"2020";"32";"1";"0";"1";"0";"Sweden";"Gender"
"147";"18670";"2020";"32";"4";"2";"2";"0";"Sweden";"Gender"
"148";"18670";"2020";"32";"2";"2";"0";"0";"Sweden";"Gender"
"149";"18670";"2020";"32";"1";"0";"1";"0";"Sweden";"Gender"
"150";"18670";"2020";"32";"4";"4";"0";"0";"Sweden";"Gender"
"151";"18670";"2020";"33";"2";"2";"0";"0";"Sweden";"Gender"
"152";"18670";"2020";"33";"4";"0";"4";"0";"Sweden";"Gender"
"153";"18670";"2020";"33";"3";"2";"1";"0";"Sweden";"Gender"
"154";"18670";"2020";"33";"5";"4";"1";"0";"Sweden";"Gender"
"155";"18670";"2020";"33";"1";"1";"0";"0";"Sweden";"Gender"
"156";"18670";"2020";"33";"1";"0";"1";"0";"Sweden";"Gender"
"157";"18670";"2020";"34";"3";"1";"2";"0";"Sweden";"Gender"
"158";"18670";"2020";"34";"4";"3";"1";"0";"Sweden";"Gender"
"159";"18670";"2020";"34";"1";"0";"1";"0";"Sweden";"Gender"
"160";"18670";"2020";"34";"2";"1";"1";"0";"Sweden";"Gender"
"161";"18670";"2020";"34";"5";"5";"0";"0";"Sweden";"Gender"
"162";"18670";"2020";"34";"1";"0";"1";"0";"Sweden";"Gender"
"163";"18670";"2020";"34";"3";"2";"1";"0";"Sweden";"Gender"
"164";"18670";"2020";"35";"1";"1";"0";"0";"Sweden";"Gender"
"165";"18670";"2020";"35";"1";"1";"0";"0";"Sweden";"Gender"
"166";"18670";"2020";"35";"2";"0";"2";"0";"Sweden";"Gender"
"167";"18670";"2020";"35";"1";"1";"0";"0";"Sweden";"Gender"
"168";"18670";"2020";"35";"1";"1";"0";"0";"Sweden";"Gender"
"169";"18670";"2020";"35";"1";"1";"0";"0";"Sweden";"Gender"
"170";"18670";"2020";"35";"3";"0";"3";"0";"Sweden";"Gender"
"171";"18670";"2020";"36";"2";"1";"1";"0";"Sweden";"Gender"
"172";"18670";"2020";"36";"3";"1";"2";"0";"Sweden";"Gender"
"173";"18670";"2020";"36";"2";"0";"2";"0";"Sweden";"Gender"
"174";"18670";"2020";"36";"2";"1";"1";"0";"Sweden";"Gender"
"175";"18670";"2020";"36";"3";"0";"3";"0";"Sweden";"Gender"
"176";"18670";"2020";"37";"1";"0";"1";"0";"Sweden";"Gender"
"177";"18670";"2020";"37";"1";"0";"1";"0";"Sweden";"Gender"
"178";"18670";"2020";"37";"2";"2";"0";"0";"Sweden";"Gender"
"179";"18670";"2020";"37";"2";"0";"2";"0";"Sweden";"Gender"
"180";"18670";"2020";"37";"4";"3";"1";"0";"Sweden";"Gender"
"181";"18670";"2020";"37";"1";"1";"0";"0";"Sweden";"Gender"
"182";"18670";"2020";"37";"2";"1";"1";"0";"Sweden";"Gender"
"183";"18670";"2020";"38";"2";"2";"0";"0";"Sweden";"Gender"
"184";"18670";"2020";"38";"1";"1";"0";"0";"Sweden";"Gender"
"185";"18670";"2020";"38";"2";"2";"0";"0";"Sweden";"Gender"
"186";"18670";"2020";"38";"1";"1";"0";"0";"Sweden";"Gender"
"187";"18670";"2020";"38";"1";"0";"1";"0";"Sweden";"Gender"
"188";"18670";"2020";"38";"1";"1";"0";"0";"Sweden";"Gender"
"189";"18670";"2020";"38";"4";"2";"2";"0";"Sweden";"Gender"
"190";"18670";"2020";"39";"2";"1";"1";"0";"Sweden";"Gender"
