"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"1";"2020-11-05";"2020";"45";"78";"44";"34";"0";"Switzerland";"Gender"
"2";"2020-12-04";"2020";"49";"81";"45";"36";"0";"Switzerland";"Gender"
"3";"2020-12-26";"2020";"52";"95";"50";"45";"0";"Switzerland";"Gender"
"4";"2021-01-17";"2021";"02";"35";"21";"14";"0";"Switzerland";"Gender"
"5";"2020-04-25";"2020";"17";"25";"14";"11";"0";"Switzerland";"Gender"
"6";"2020-04-04";"2020";"14";"56";"30";"26";"0";"Switzerland";"Gender"
"7";"2020-03-20";"2020";"12";"21";"12";"9";"0";"Switzerland";"Gender"
"8";"2021-03-15";"2021";"11";"8";"5";"3";"0";"Switzerland";"Gender"
"9";"2020-03-24";"2020";"13";"19";"12";"7";"0";"Switzerland";"Gender"
"10";"2020-11-16";"2020";"47";"93";"59";"34";"0";"Switzerland";"Gender"
"11";"2021-02-05";"2021";"05";"22";"10";"12";"0";"Switzerland";"Gender"
"12";"2020-11-20";"2020";"47";"81";"42";"39";"0";"Switzerland";"Gender"
"13";"2020-12-01";"2020";"49";"88";"51";"37";"0";"Switzerland";"Gender"
"14";"2020-12-11";"2020";"50";"89";"45";"44";"0";"Switzerland";"Gender"
"15";"2020-04-08";"2020";"15";"58";"29";"29";"0";"Switzerland";"Gender"
"16";"2020-11-21";"2020";"47";"80";"46";"34";"0";"Switzerland";"Gender"
"17";"2020-10-31";"2020";"44";"59";"39";"20";"0";"Switzerland";"Gender"
"18";"2020-12-29";"2020";"53";"78";"43";"35";"0";"Switzerland";"Gender"
"19";"2020-12-09";"2020";"50";"84";"44";"40";"0";"Switzerland";"Gender"
"20";"2020-03-26";"2020";"13";"38";"32";"6";"0";"Switzerland";"Gender"
"21";"2020-12-08";"2020";"50";"95";"54";"41";"0";"Switzerland";"Gender"
"22";"2021-01-19";"2021";"03";"63";"33";"30";"0";"Switzerland";"Gender"
"23";"2020-12-24";"2020";"52";"91";"40";"51";"0";"Switzerland";"Gender"
"24";"2021-03-18";"2021";"11";"8";"7";"1";"0";"Switzerland";"Gender"
"25";"2020-11-02";"2020";"45";"59";"28";"31";"0";"Switzerland";"Gender"
"26";"2020-04-23";"2020";"17";"31";"12";"19";"0";"Switzerland";"Gender"
"27";"2020-10-24";"2020";"43";"25";"15";"10";"0";"Switzerland";"Gender"
"28";"2020-11-29";"2020";"48";"83";"49";"34";"0";"Switzerland";"Gender"
"29";"2020-10-20";"2020";"43";"12";"4";"8";"0";"Switzerland";"Gender"
"30";"2020-11-12";"2020";"46";"106";"51";"55";"0";"Switzerland";"Gender"
"31";"2021-03-13";"2021";"10";"11";"7";"4";"0";"Switzerland";"Gender"
"32";"2021-01-18";"2021";"03";"37";"18";"19";"0";"Switzerland";"Gender"
"33";"2020-04-30";"2020";"18";"14";"7";"7";"0";"Switzerland";"Gender"
"34";"2020-08-31";"2020";"36";"1";"0";"1";"0";"Switzerland";"Gender"
"35";"2020-12-27";"2020";"52";"92";"47";"45";"0";"Switzerland";"Gender"
"36";"2020-12-14";"2020";"51";"98";"50";"48";"0";"Switzerland";"Gender"
"37";"2021-01-02";"2021";"53";"66";"31";"35";"0";"Switzerland";"Gender"
"38";"2021-01-14";"2021";"02";"48";"27";"21";"0";"Switzerland";"Gender"
"39";"2020-12-20";"2020";"51";"100";"44";"56";"0";"Switzerland";"Gender"
"40";"2020-04-05";"2020";"14";"50";"31";"19";"0";"Switzerland";"Gender"
"41";"2020-12-06";"2020";"49";"66";"30";"36";"0";"Switzerland";"Gender"
"42";"2021-01-26";"2021";"04";"38";"25";"13";"0";"Switzerland";"Gender"
"43";"2021-02-02";"2021";"05";"20";"10";"10";"0";"Switzerland";"Gender"
"44";"2020-11-08";"2020";"45";"89";"49";"40";"0";"Switzerland";"Gender"
"45";"2020-04-10";"2020";"15";"52";"28";"24";"0";"Switzerland";"Gender"
"46";"2021-01-01";"2021";"53";"73";"36";"37";"0";"Switzerland";"Gender"
"47";"2020-11-19";"2020";"47";"79";"38";"41";"0";"Switzerland";"Gender"
"48";"2021-02-16";"2021";"07";"8";"6";"2";"0";"Switzerland";"Gender"
"49";"2020-11-23";"2020";"48";"96";"52";"44";"0";"Switzerland";"Gender"
"50";"2021-01-04";"2021";"01";"52";"33";"19";"0";"Switzerland";"Gender"
