"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"1";"80";NA;"Switzerland";"2021-02-13";"2021";"06";2;1;0;3;"Switzerland";"AgeGender"
"2";"80+";"80+";"Switzerland";"2021-02-13";"2021";"06";5;5;0;10;"Switzerland";"AgeGender"
"3";"50";"59";"Switzerland";"2021-02-13";"2021";"06";0;0;0;0;"Switzerland";"AgeGender"
"4";"60";"69";"Switzerland";"2021-02-13";"2021";"06";3;1;0;4;"Switzerland";"AgeGender"
"5";"40";"49";"Switzerland";"2021-02-13";"2021";"06";0;0;0;0;"Switzerland";"AgeGender"
"6";"20";"29";"Switzerland";"2021-02-13";"2021";"06";0;0;0;0;"Switzerland";"AgeGender"
"7";"0";"9";"Switzerland";"2021-02-13";"2021";"06";0;0;0;0;"Switzerland";"AgeGender"
"8";"30";"39";"Switzerland";"2021-02-13";"2021";"06";0;0;0;0;"Switzerland";"AgeGender"
"9";"80";NA;"Switzerland";"2020-11-12";"2020";"46";16;11;0;27;"Switzerland";"AgeGender"
"10";"80+";"80+";"Switzerland";"2020-11-12";"2020";"46";30;43;0;73;"Switzerland";"AgeGender"
"11";"50";"59";"Switzerland";"2020-11-12";"2020";"46";1;0;0;1;"Switzerland";"AgeGender"
"12";"60";"69";"Switzerland";"2020-11-12";"2020";"46";1;0;0;1;"Switzerland";"AgeGender"
"13";"40";"49";"Switzerland";"2020-11-12";"2020";"46";1;0;0;1;"Switzerland";"AgeGender"
"14";"20";"29";"Switzerland";"2020-11-12";"2020";"46";0;0;0;0;"Switzerland";"AgeGender"
"15";"0";"9";"Switzerland";"2020-11-12";"2020";"46";0;0;0;0;"Switzerland";"AgeGender"
"16";"30";"39";"Switzerland";"2020-11-12";"2020";"46";0;0;0;0;"Switzerland";"AgeGender"
"17";"80";NA;"Switzerland";"2020-12-28";"2020";"53";11;8;0;19;"Switzerland";"AgeGender"
"18";"80+";"80+";"Switzerland";"2020-12-28";"2020";"53";20;29;0;49;"Switzerland";"AgeGender"
"19";"50";"59";"Switzerland";"2020-12-28";"2020";"53";1;1;0;2;"Switzerland";"AgeGender"
"20";"60";"69";"Switzerland";"2020-12-28";"2020";"53";5;2;0;7;"Switzerland";"AgeGender"
"21";"40";"49";"Switzerland";"2020-12-28";"2020";"53";0;0;0;0;"Switzerland";"AgeGender"
"22";"20";"29";"Switzerland";"2020-12-28";"2020";"53";0;0;0;0;"Switzerland";"AgeGender"
"23";"0";"9";"Switzerland";"2020-12-28";"2020";"53";0;0;0;0;"Switzerland";"AgeGender"
"24";"30";"39";"Switzerland";"2020-12-28";"2020";"53";0;0;0;0;"Switzerland";"AgeGender"
"25";"80";NA;"Switzerland";"2020-11-27";"2020";"48";16;3;0;19;"Switzerland";"AgeGender"
"26";"80+";"80+";"Switzerland";"2020-11-27";"2020";"48";30;32;0;62;"Switzerland";"AgeGender"
"27";"50";"59";"Switzerland";"2020-11-27";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"28";"60";"69";"Switzerland";"2020-11-27";"2020";"48";4;3;0;7;"Switzerland";"AgeGender"
"29";"40";"49";"Switzerland";"2020-11-27";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"30";"20";"29";"Switzerland";"2020-11-27";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"31";"0";"9";"Switzerland";"2020-11-27";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"32";"30";"39";"Switzerland";"2020-11-27";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"33";"80";NA;"Switzerland";"2020-04-20";"2020";"17";8;2;0;10;"Switzerland";"AgeGender"
"34";"80+";"80+";"Switzerland";"2020-04-20";"2020";"17";11;16;0;27;"Switzerland";"AgeGender"
"35";"50";"59";"Switzerland";"2020-04-20";"2020";"17";0;0;0;0;"Switzerland";"AgeGender"
"36";"60";"69";"Switzerland";"2020-04-20";"2020";"17";1;0;0;1;"Switzerland";"AgeGender"
"37";"40";"49";"Switzerland";"2020-04-20";"2020";"17";0;0;0;0;"Switzerland";"AgeGender"
"38";"20";"29";"Switzerland";"2020-04-20";"2020";"17";0;0;0;0;"Switzerland";"AgeGender"
"39";"0";"9";"Switzerland";"2020-04-20";"2020";"17";0;0;0;0;"Switzerland";"AgeGender"
"40";"30";"39";"Switzerland";"2020-04-20";"2020";"17";0;0;0;0;"Switzerland";"AgeGender"
"41";"80";NA;"Switzerland";"2020-11-28";"2020";"48";15;1;0;16;"Switzerland";"AgeGender"
"42";"80+";"80+";"Switzerland";"2020-11-28";"2020";"48";30;32;0;62;"Switzerland";"AgeGender"
"43";"50";"59";"Switzerland";"2020-11-28";"2020";"48";2;0;0;2;"Switzerland";"AgeGender"
"44";"60";"69";"Switzerland";"2020-11-28";"2020";"48";5;2;0;7;"Switzerland";"AgeGender"
"45";"40";"49";"Switzerland";"2020-11-28";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"46";"20";"29";"Switzerland";"2020-11-28";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"47";"0";"9";"Switzerland";"2020-11-28";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"48";"30";"39";"Switzerland";"2020-11-28";"2020";"48";0;0;0;0;"Switzerland";"AgeGender"
"49";"80";NA;"Switzerland";"2020-04-13";"2020";"16";2;4;0;6;"Switzerland";"AgeGender"
"50";"80+";"80+";"Switzerland";"2020-04-13";"2020";"16";13;13;0;26;"Switzerland";"AgeGender"
"51";"50";"59";"Switzerland";"2020-04-13";"2020";"16";0;1;0;1;"Switzerland";"AgeGender"
"52";"60";"69";"Switzerland";"2020-04-13";"2020";"16";2;1;0;3;"Switzerland";"AgeGender"
"53";"40";"49";"Switzerland";"2020-04-13";"2020";"16";0;0;0;0;"Switzerland";"AgeGender"
"54";"20";"29";"Switzerland";"2020-04-13";"2020";"16";0;0;0;0;"Switzerland";"AgeGender"
"55";"0";"9";"Switzerland";"2020-04-13";"2020";"16";0;0;0;0;"Switzerland";"AgeGender"
"56";"30";"39";"Switzerland";"2020-04-13";"2020";"16";0;0;0;0;"Switzerland";"AgeGender"
"57";"80";NA;"Switzerland";"2020-12-05";"2020";"49";13;4;0;17;"Switzerland";"AgeGender"
"58";"80+";"80+";"Switzerland";"2020-12-05";"2020";"49";30;40;0;70;"Switzerland";"AgeGender"
"59";"50";"59";"Switzerland";"2020-12-05";"2020";"49";2;1;0;3;"Switzerland";"AgeGender"
"60";"60";"69";"Switzerland";"2020-12-05";"2020";"49";3;3;0;6;"Switzerland";"AgeGender"
