"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"1";2020-01-03;2020;1;0;0;0;0;"UK";"Gender"
"2";2020-01-10;2020;2;0;0;0;0;"UK";"Gender"
"3";2020-01-17;2020;3;0;0;0;0;"UK";"Gender"
"4";2020-01-24;2020;4;0;0;0;0;"UK";"Gender"
"5";2020-01-31;2020;5;1;1;0;0;"UK";"Gender"
"6";2020-02-07;2020;6;1;1;0;0;"UK";"Gender"
"7";2020-02-14;2020;7;0;0;0;0;"UK";"Gender"
"8";2020-02-21;2020;8;0;0;0;0;"UK";"Gender"
"9";2020-02-28;2020;9;1;0;1;0;"UK";"Gender"
"10";2020-03-06;2020;10;6;3;3;0;"UK";"Gender"
"11";2020-03-13;2020;11;44;32;12;0;"UK";"Gender"
"12";2020-03-20;2020;12;407;226;181;0;"UK";"Gender"
"13";2020-03-27;2020;13;1885;1169;716;0;"UK";"Gender"
"14";2020-04-03;2020;14;5197;3234;1963;0;"UK";"Gender"
"15";2020-04-10;2020;15;8268;4955;3313;0;"UK";"Gender"
"16";2020-04-17;2020;16;8341;4697;3644;0;"UK";"Gender"
"17";2020-04-24;2020;17;6958;3755;3203;0;"UK";"Gender"
"18";2020-05-01;2020;18;5236;2713;2523;0;"UK";"Gender"
"19";2020-05-08;2020;19;3994;2030;1964;0;"UK";"Gender"
"20";2020-05-15;2020;20;2871;1436;1435;0;"UK";"Gender"
"21";2020-05-22;2020;21;2297;1109;1188;0;"UK";"Gender"
"22";2020-05-29;2020;22;1790;903;887;0;"UK";"Gender"
"23";2020-06-05;2020;23;1318;624;694;0;"UK";"Gender"
"24";2020-06-12;2020;24;957;494;463;0;"UK";"Gender"
"25";2020-06-19;2020;25;682;360;322;0;"UK";"Gender"
"26";2020-06-26;2020;26;592;321;271;0;"UK";"Gender"
"27";2020-07-03;2020;27;428;231;197;0;"UK";"Gender"
"28";2020-07-10;2020;28;338;173;165;0;"UK";"Gender"
"29";2020-07-17;2020;29;237;127;110;0;"UK";"Gender"
"30";2020-07-24;2020;30;196;103;93;0;"UK";"Gender"
"31";2020-07-31;2020;31;164;91;73;0;"UK";"Gender"
"32";2020-08-07;2020;32;135;65;70;0;"UK";"Gender"
"33";2020-08-14;2020;33;142;66;76;0;"UK";"Gender"
"34";2020-08-21;2020;34;102;55;47;0;"UK";"Gender"
"35";2020-08-28;2020;35;93;59;34;0;"UK";"Gender"
"36";2020-09-04;2020;36;77;50;27;0;"UK";"Gender"
"37";2020-09-11;2020;37;102;49;53;0;"UK";"Gender"
"38";2020-09-18;2020;38;169;100;69;0;"UK";"Gender"
"39";2020-09-25;2020;39;247;143;104;0;"UK";"Gender"
"40";2020-10-02;2020;40;383;233;150;0;"UK";"Gender"
"41";2020-10-09;2020;41;535;299;236;0;"UK";"Gender"
"42";2020-10-16;2020;42;782;456;326;0;"UK";"Gender"
"43";2020-10-23;2020;43;1279;732;547;0;"UK";"Gender"
"44";2020-10-30;2020;44;1709;992;717;0;"UK";"Gender"
"45";2020-11-06;2020;45;2243;1255;988;0;"UK";"Gender"
"46";2020-11-13;2020;46;2650;1492;1158;0;"UK";"Gender"
"47";2020-11-20;2020;47;2923;1646;1277;0;"UK";"Gender"
"48";2020-11-27;2020;48;3094;1729;1365;0;"UK";"Gender"
"49";2020-12-04;2020;49;2954;1674;1280;0;"UK";"Gender"
"50";2020-12-11;2020;50;2895;1575;1320;0;"UK";"Gender"
"51";2020-12-18;2020;51;3282;1759;1523;0;"UK";"Gender"
"52";2020-12-25;2020;52;3831;2096;1735;0;"UK";"Gender"
"53";2021-01-01;2020;53;4831;2599;2232;0;"UK";"Gender"
"54";2021-01-08;2021;1;6074;3253;2821;0;"UK";"Gender"
"55";2021-01-15;2021;2;8085;4277;3808;0;"UK";"Gender"
"56";2021-01-22;2021;3;8922;4628;4294;0;"UK";"Gender"
"57";2021-01-29;2021;4;7848;3992;3856;0;"UK";"Gender"
"58";2021-02-05;2021;5;6080;3199;2881;0;"UK";"Gender"
"59";2021-02-12;2021;6;4511;2398;2113;0;"UK";"Gender"
"60";2021-02-19;2021;7;3391;1809;1582;0;"UK";"Gender"
"61";2021-02-26;2021;8;2304;1212;1092;0;"UK";"Gender"
"62";2021-03-05;2021;9;1548;844;704;0;"UK";"Gender"
"63";2021-03-12;2021;10;987;545;442;0;"UK";"Gender"
