"";"date";"dead"
"1";2009-01-01;310
"2";2009-01-02;322
"3";2009-01-03;310
"4";2009-01-04;344
"5";2009-01-05;366
"6";2009-01-06;320
"7";2009-01-07;381
"8";2009-01-08;365
"9";2009-01-09;347
"10";2009-01-10;367
"11";2009-01-11;320
"12";2009-01-12;379
"13";2009-01-13;375
"14";2009-01-14;355
"15";2009-01-15;382
"16";2009-01-16;379
"17";2009-01-17;390
"18";2009-01-18;375
"19";2009-01-19;377
"20";2009-01-20;382
"21";2009-01-21;390
"22";2009-01-22;359
"23";2009-01-23;390
"24";2009-01-24;369
"25";2009-01-25;345
"26";2009-01-26;378
"27";2009-01-27;371
"28";2009-01-28;359
"29";2009-01-29;334
"30";2009-01-30;375
"31";2009-01-31;372
"32";2009-02-01;336
"33";2009-02-02;360
"34";2009-02-03;387
"35";2009-02-04;356
"36";2009-02-05;408
"37";2009-02-06;346
"38";2009-02-07;366
"39";2009-02-08;378
"40";2009-02-09;382
"41";2009-02-10;361
"42";2009-02-11;359
"43";2009-02-12;371
"44";2009-02-13;363
"45";2009-02-14;344
"46";2009-02-15;328
"47";2009-02-16;313
"48";2009-02-17;340
"49";2009-02-18;347
"50";2009-02-19;300
"51";2009-02-20;295
"52";2009-02-21;325
"53";2009-02-22;328
"54";2009-02-23;318
"55";2009-02-24;327
"56";2009-02-25;306
"57";2009-02-26;347
"58";2009-02-27;377
"59";2009-02-28;331
"60";2009-03-01;313
"61";2009-03-02;291
"62";2009-03-03;311
"63";2009-03-04;311
"64";2009-03-05;331
"65";2009-03-06;316
"66";2009-03-07;311
"67";2009-03-08;313
"68";2009-03-09;294
"69";2009-03-10;268
"70";2009-03-11;282
"71";2009-03-12;302
"72";2009-03-13;312
"73";2009-03-14;295
"74";2009-03-15;258
"75";2009-03-16;300
"76";2009-03-17;298
"77";2009-03-18;252
"78";2009-03-19;293
"79";2009-03-20;298
"80";2009-03-21;267
"81";2009-03-22;261
"82";2009-03-23;260
"83";2009-03-24;283
"84";2009-03-25;299
"85";2009-03-26;262
"86";2009-03-27;297
"87";2009-03-28;266
"88";2009-03-29;284
"89";2009-03-30;255
"90";2009-03-31;303
"91";2009-04-01;269
"92";2009-04-02;295
"93";2009-04-03;257
"94";2009-04-04;271
"95";2009-04-05;282
"96";2009-04-06;302
"97";2009-04-07;284
"98";2009-04-08;264
"99";2009-04-09;324
"100";2009-04-10;282
"101";2009-04-11;299
"102";2009-04-12;253
"103";2009-04-13;253
"104";2009-04-14;281
"105";2009-04-15;267
"106";2009-04-16;300
"107";2009-04-17;312
"108";2009-04-18;263
"109";2009-04-19;261
"110";2009-04-20;274
"111";2009-04-21;310
"112";2009-04-22;269
"113";2009-04-23;278
"114";2009-04-24;291
"115";2009-04-25;286
"116";2009-04-26;246
"117";2009-04-27;268
"118";2009-04-28;268
"119";2009-04-29;254
"120";2009-04-30;285
"121";2009-05-01;278
"122";2009-05-02;252
"123";2009-05-03;264
"124";2009-05-04;231
"125";2009-05-05;238
"126";2009-05-06;270
"127";2009-05-07;229
"128";2009-05-08;276
"129";2009-05-09;252
"130";2009-05-10;241
"131";2009-05-11;253
"132";2009-05-12;282
"133";2009-05-13;264
"134";2009-05-14;266
"135";2009-05-15;256
"136";2009-05-16;252
"137";2009-05-17;213
"138";2009-05-18;262
"139";2009-05-19;263
"140";2009-05-20;280
"141";2009-05-21;275
"142";2009-05-22;264
"143";2009-05-23;260
"144";2009-05-24;230
"145";2009-05-25;290
"146";2009-05-26;282
"147";2009-05-27;249
"148";2009-05-28;279
"149";2009-05-29;265
"150";2009-05-30;250
"151";2009-05-31;260
"152";2009-06-01;272
"153";2009-06-02;297
"154";2009-06-03;257
"155";2009-06-04;247
"156";2009-06-05;266
"157";2009-06-06;252
"158";2009-06-07;259
"159";2009-06-08;265
"160";2009-06-09;305
"161";2009-06-10;257
"162";2009-06-11;274
"163";2009-06-12;253
"164";2009-06-13;248
"165";2009-06-14;275
"166";2009-06-15;276
"167";2009-06-16;271
"168";2009-06-17;253
"169";2009-06-18;257
"170";2009-06-19;298
"171";2009-06-20;231
"172";2009-06-21;230
"173";2009-06-22;247
"174";2009-06-23;265
"175";2009-06-24;289
"176";2009-06-25;268
"177";2009-06-26;295
"178";2009-06-27;296
"179";2009-06-28;289
"180";2009-06-29;281
"181";2009-06-30;284
"182";2009-07-01;283
"183";2009-07-02;288
"184";2009-07-03;294
"185";2009-07-04;251
"186";2009-07-05;263
"187";2009-07-06;240
"188";2009-07-07;236
"189";2009-07-08;227
"190";2009-07-09;264
"191";2009-07-10;261
"192";2009-07-11;249
"193";2009-07-12;266
"194";2009-07-13;270
"195";2009-07-14;269
"196";2009-07-15;281
"197";2009-07-16;290
"198";2009-07-17;280
"199";2009-07-18;240
"200";2009-07-19;232
"201";2009-07-20;241
"202";2009-07-21;257
"203";2009-07-22;296
"204";2009-07-23;269
"205";2009-07-24;240
"206";2009-07-25;232
"207";2009-07-26;226
"208";2009-07-27;259
"209";2009-07-28;295
"210";2009-07-29;272
