"";"date";"deaths";"year";"week";"seasonal"
"1";"2000-01-07";2814;2000;1;282.155601930121
"9";"2000-01-14";2761;2000;2;307.972909622429
"17";"2000-01-21";2640;2000;3;292.12964039166
"25";"2000-01-28";2633;2000;4;250.98012116089
"33";"2000-02-04";2403;2000;5;300.227236545506
"41";"2000-02-11";2201;2000;6;282.226755776275
"49";"2000-02-18";2168;2000;7;286.395986545506
"57";"2000-02-25";2127;2000;8;268.191659622429
"65";"2000-03-03";2055;2000;9;277.008005776275
"73";"2000-03-10";2029;2000;10;231.61137116089
"81";"2000-03-17";2012;2000;11;169.578198083967
"89";"2000-03-24";1931;2000;12;131.357044237814
"97";"2000-03-31";1894;2000;13;129.203678853198
"105";"2000-04-07";1973;2000;14;136.995505776275
"113";"2000-04-14";2002;2000;15;124.603198083967
"121";"2000-04-21";1952;2000;16;79.2368519301212
"129";"2000-04-28";1966;2000;17;16.368582699352
"137";"2000-05-05";1907;2000;18;-67.7261288391095
"145";"2000-05-12";1953;2000;19;-79.8463211468019
"153";"2000-05-19";1834;2000;20;-104.512186531417
"161";"2000-05-26";1789;2000;21;-115.834782685263
"169";"2000-06-02";1864;2000;22;-125.142474992956
"177";"2000-06-09";1937;2000;23;-153.443436531417
"185";"2000-06-16";1799;2000;24;-163.090071146802
"193";"2000-06-23";2026;2000;25;-153.762186531417
"201";"2000-06-30";1919;2000;26;-143.833821146802
"209";"2000-07-07";1922;2000;27;-138.822442941674
"217";"2000-07-14";1794;2000;28;-233.211637080868
"225";"2000-07-21";1781;2000;29;-166.76062975486
"233";"2000-07-28";1901;2000;30;-137.335263454494
"241";"2000-08-04";1871;2000;31;-179.228578472809
"249";"2000-08-11";1927;2000;32;-205.032607776839
"257";"2000-08-18";1904;2000;33;-166.72399971823
"265";"2000-08-25";1846;2000;34;-193.075648069879
"273";"2000-09-01";1671;2000;35;-227.764292758524
"281";"2000-09-08";1811;2000;36;-219.206142575373
"289";"2000-09-15";1744;2000;37;-212.406898069879
"297";"2000-09-22";1840;2000;38;-192.63237883911
"305";"2000-09-29";1891;2000;39;-140.377090377571
"313";"2000-10-06";1852;2000;40;-123.958340377571
"321";"2000-10-13";1961;2000;41;-106.862667300648
"329";"2000-10-20";1826;2000;42;-102.822763454494
"337";"2000-10-27";1889;2000;43;-75.6482442237251
"345";"2000-11-03";1966;2000;44;-89.3266096083404
"353";"2000-11-10";2072;2000;45;-68.2439173006481
"361";"2000-11-17";2021;2000;46;-50.5112249929559
"369";"2000-11-24";1964;2000;47;-8.60930191603273
"377";"2000-12-01";2031;2000;48;17.434928853198
"385";"2000-12-08";1911;2000;49;42.7834865455058
"393";"2000-12-15";1925;2000;50;106.14262116089
"401";"2000-12-22";2006;2000;51;187.238775007044
"409";"2000-12-29";2177;2000;52;225.909928853198
"425";"2001-01-12";2282;2001;1;282.155601930121
"433";"2001-01-19";2244;2001;2;307.972909622429
"441";"2001-01-26";2300;2001;3;292.12964039166
"449";"2001-02-02";2302;2001;4;250.98012116089
"457";"2001-02-09";2241;2001;5;300.227236545506
"465";"2001-02-16";2239;2001;6;282.226755776275
"473";"2001-02-23";2055;2001;7;286.395986545506
"481";"2001-03-02";1988;2001;8;268.191659622429
"489";"2001-03-09";2134;2001;9;277.008005776275
"497";"2001-03-16";2177;2001;10;231.61137116089
"505";"2001-03-23";2016;2001;11;169.578198083967
"513";"2001-03-30";1960;2001;12;131.357044237814
"521";"2001-04-06";2050;2001;13;129.203678853198
"529";"2001-04-13";2107;2001;14;136.995505776275
"537";"2001-04-20";1892;2001;15;124.603198083967
"545";"2001-04-27";1986;2001;16;79.2368519301212
"553";"2001-05-04";1989;2001;17;16.368582699352
"561";"2001-05-11";2021;2001;18;-67.7261288391095
"569";"2001-05-18";2096;2001;19;-79.8463211468019
"577";"2001-05-25";1929;2001;20;-104.512186531417
"585";"2001-06-01";1923;2001;21;-115.834782685263
"593";"2001-06-08";2008;2001;22;-125.142474992956
"601";"2001-06-15";1892;2001;23;-153.443436531417
"609";"2001-06-22";1959;2001;24;-163.090071146802
"617";"2001-06-29";1936;2001;25;-153.762186531417
"625";"2001-07-06";1978;2001;26;-143.833821146802
"633";"2001-07-13";2008;2001;27;-138.822442941674
