"";"date";"deaths";"year";"week";"seasonal"
"2978";"2007-01-12";1173;2007;1;135.566238864686
"2986";"2007-01-19";1209;2007;2;112.134286201964
"2994";"2007-01-26";1063;2007;3;96.722303953443
"3002";"2007-02-02";1022;2007;4;94.0773335392419
"3010";"2007-02-09";1110;2007;5;102.282215196047
"3018";"2007-02-16";1112;2007;6;105.946416379479
"3026";"2007-02-23";1119;2007;7;117.630587977112
"3034";"2007-03-02";1256;2007;8;101.863576142792
"3042";"2007-03-09";1256;2007;9;106.785173775928
"3050";"2007-03-16";1184;2007;10;86.5033690422005
"3058";"2007-03-23";1240;2007;11;74.4294045451591
"3066";"2007-03-30";1142;2007;12;66.231179693088
"3074";"2007-04-06";1177;2007;13;52.9220080954549
"3082";"2007-04-13";1124;2007;14;40.5847299889461
"3090";"2007-04-20";1042;2007;15;34.0691974445674
"3098";"2007-04-27";1090;2007;16;6.52038087651995
"3106";"2007-05-04";1021;2007;17;-15.9648262240717
"3114";"2007-05-11";1138;2007;18;2.94271815462646
"3122";"2007-05-18";1059;2007;19;-12.4411575850185
"3130";"2007-05-25";971;2007;20;-42.043968235906
"3138";"2007-06-01";1090;2007;21;-49.9847966382729
"3146";"2007-06-08";978;2007;22;-60.1970747447819
"3154";"2007-06-15";1040;2007;23;-52.3405658690422
"3162";"2007-06-22";1046;2007;24;-61.0868676441902
"3170";"2007-06-29";1007;2007;25;-61.5469268157879
"3178";"2007-07-06";986;2007;26;-59.8531398335393
"3186";"2007-07-13";995;2007;27;-66.780073476819
"3194";"2007-07-20";998;2007;28;-75.8947712790169
"3202";"2007-07-27";1052;2007;29;-59.3247163339619
"3210";"2007-08-03";982;2007;30;-53.813727322973
"3218";"2007-08-10";1014;2007;31;-64.2265020482477
"3226";"2007-08-17";1096;2007;32;-64.2917493009949
"3234";"2007-08-24";947;2007;33;-95.8226558944015
"3242";"2007-08-31";940;2007;34;-71.6557602900059
"3250";"2007-09-07";1006;2007;35;-91.1901009493465
"3258";"2007-09-14";967;2007;36;-78.6873536965993
"3266";"2007-09-21";1006;2007;37;-63.7539745757202
"3274";"2007-09-28";1000;2007;38;-44.588346934131
"3282";"2007-10-05";950;2007;39;-64.9234061057287
"3290";"2007-10-12";980;2007;40;-57.1297670524742
"3298";"2007-10-19";985;2007;41;-48.6127552181547
"3306";"2007-10-26";947;2007;42;-47.8324297743677
"3314";"2007-11-02";1021;2007;43;-44.7177848039535
"3322";"2007-11-09";1033;2007;44;-31.3146782950777
"3330";"2007-11-16";1077;2007;45;-27.1475185317641
"3338";"2007-11-23";1063;2007;46;-19.0321339163795
"3346";"2007-11-30";988;2007;47;-17.0232581767345
"3354";"2007-12-07";1112;2007;48;12.1320672670525
"3362";"2007-12-14";1104;2007;49;49.1202329475259
"3370";"2007-12-21";1127;2007;50;50.981179693088
"3378";"2007-12-28";1139;2007;51;71.52038087652
"3386";"2008-01-04";1244;2007;52;82.2578069120229
"3402";"2008-01-11";1257;2008;1;135.566238864686
"3410";"2008-01-18";1217;2008;2;112.134286201964
"3418";"2008-01-25";1173;2008;3;96.722303953443
"3426";"2008-02-01";1179;2008;4;94.0773335392419
"3434";"2008-02-08";1114;2008;5;102.282215196047
"3442";"2008-02-15";1094;2008;6;105.946416379479
"3450";"2008-02-22";1063;2008;7;117.630587977112
"3458";"2008-02-29";1110;2008;8;101.863576142792
"3466";"2008-03-07";1052;2008;9;106.785173775928
"3474";"2008-03-14";1066;2008;10;86.5033690422005
"3482";"2008-03-21";1059;2008;11;74.4294045451591
"3490";"2008-03-28";1074;2008;12;66.231179693088
"3498";"2008-04-04";1095;2008;13;52.9220080954549
"3506";"2008-04-11";1067;2008;14;40.5847299889461
"3514";"2008-04-18";1052;2008;15;34.0691974445674
"3522";"2008-04-25";1048;2008;16;6.52038087651995
"3530";"2008-05-02";1003;2008;17;-15.9648262240717
"3538";"2008-05-09";1056;2008;18;2.94271815462646
"3546";"2008-05-16";1040;2008;19;-12.4411575850185
"3554";"2008-05-23";1005;2008;20;-42.043968235906
"3562";"2008-05-30";974;2008;21;-49.9847966382729
"3570";"2008-06-06";1119;2008;22;-60.1970747447819
"3578";"2008-06-13";1020;2008;23;-52.3405658690422
"3586";"2008-06-20";1000;2008;24;-61.0868676441902
"3594";"2008-06-27";975;2008;25;-61.5469268157879
"3602";"2008-07-04";963;2008;26;-59.8531398335393
"3610";"2008-07-11";1009;2008;27;-66.780073476819
"3618";"2008-07-18";940;2008;28;-75.8947712790169
"3626";"2008-07-25";986;2008;29;-59.3247163339619
"3634";"2008-08-01";948;2008;30;-53.813727322973
"3642";"2008-08-08";989;2008;31;-64.2265020482477
"3650";"2008-08-15";953;2008;32;-64.2917493009949
"3658";"2008-08-22";896;2008;33;-95.8226558944015
"3666";"2008-08-29";979;2008;34;-71.6557602900059
"3674";"2008-09-05";899;2008;35;-91.1901009493465
"3682";"2008-09-12";948;2008;36;-78.6873536965993
"3690";"2008-09-19";952;2008;37;-63.7539745757202
"3698";"2008-09-26";1032;2008;38;-44.588346934131
"3706";"2008-10-03";1036;2008;39;-64.9234061057287
"3714";"2008-10-10";1049;2008;40;-57.1297670524742
"3722";"2008-10-17";1002;2008;41;-48.6127552181547
"3730";"2008-10-24";1042;2008;42;-47.8324297743677
"3738";"2008-10-31";1000;2008;43;-44.7177848039535
"3746";"2008-11-07";1012;2008;44;-31.3146782950777
"3754";"2008-11-14";1039;2008;45;-27.1475185317641
"3762";"2008-11-21";1034;2008;46;-19.0321339163795
"3770";"2008-11-28";1018;2008;47;-17.0232581767345
"3778";"2008-12-05";1007;2008;48;12.1320672670525
"3786";"2008-12-12";1086;2008;49;49.1202329475259
"3794";"2008-12-19";1103;2008;50;50.981179693088
"3802";"2008-12-26";1207;2008;51;71.52038087652
"3810";"2009-01-02";1181;2008;52;82.2578069120229
"3826";"2009-01-09";1265;2009;1;135.566238864686
"3834";"2009-01-16";1296;2009;2;112.134286201964
"3842";"2009-01-23";1309;2009;3;96.722303953443
"3850";"2009-01-30";1364;2009;4;94.0773335392419
"3858";"2009-02-06";1227;2009;5;102.282215196047
"3866";"2009-02-13";1261;2009;6;105.946416379479
"3874";"2009-02-20";1185;2009;7;117.630587977112
"3882";"2009-02-27";1222;2009;8;101.863576142792
"3890";"2009-03-06";1139;2009;9;106.785173775928
"3898";"2009-03-13";1150;2009;10;86.5033690422005
"3906";"2009-03-20";1091;2009;11;74.4294045451591
"3914";"2009-03-27";1099;2009;12;66.231179693088
"3922";"2009-04-03";1104;2009;13;52.9220080954549
"3930";"2009-04-10";1100;2009;14;40.5847299889461
"3938";"2009-04-17";1052;2009;15;34.0691974445674
"3946";"2009-04-24";1024;2009;16;6.52038087651995
"3954";"2009-05-01";1012;2009;17;-15.9648262240717
"3962";"2009-05-08";1053;2009;18;2.94271815462646
"3970";"2009-05-15";953;2009;19;-12.4411575850185
"3978";"2009-05-22";1053;2009;20;-42.043968235906
"3986";"2009-05-29";966;2009;21;-49.9847966382729
"3994";"2009-06-05";986;2009;22;-60.1970747447819
"4002";"2009-06-12";976;2009;23;-52.3405658690422
"4010";"2009-06-19";947;2009;24;-61.0868676441902
"4018";"2009-06-26";998;2009;25;-61.5469268157879
"4026";"2009-07-03";982;2009;26;-59.8531398335393
"4034";"2009-07-10";1035;2009;27;-66.780073476819
"4042";"2009-07-17";891;2009;28;-75.8947712790169
"4050";"2009-07-24";1028;2009;29;-59.3247163339619
"4058";"2009-07-31";979;2009;30;-53.813727322973
"4066";"2009-08-07";957;2009;31;-64.2265020482477
"4074";"2009-08-14";973;2009;32;-64.2917493009949
"4082";"2009-08-21";937;2009;33;-95.8226558944015
"4090";"2009-08-28";940;2009;34;-71.6557602900059
"4098";"2009-09-04";943;2009;35;-91.1901009493465
"4106";"2009-09-11";949;2009;36;-78.6873536965993
"4114";"2009-09-18";992;2009;37;-63.7539745757202
"4122";"2009-09-25";920;2009;38;-44.588346934131
"4130";"2009-10-02";936;2009;39;-64.9234061057287
"4138";"2009-10-09";1003;2009;40;-57.1297670524742
"4146";"2009-10-16";951;2009;41;-48.6127552181547
"4154";"2009-10-23";950;2009;42;-47.8324297743677
"4162";"2009-10-30";1052;2009;43;-44.7177848039535
"4170";"2009-11-06";1039;2009;44;-31.3146782950777
"4178";"2009-11-13";1033;2009;45;-27.1475185317641
"4186";"2009-11-20";1024;2009;46;-19.0321339163795
"4194";"2009-11-27";1086;2009;47;-17.0232581767345
"4202";"2009-12-04";1015;2009;48;12.1320672670525
"4210";"2009-12-11";1076;2009;49;49.1202329475259
"4218";"2009-12-18";1090;2009;50;50.981179693088
"4226";"2009-12-25";1058;2009;51;71.52038087652
"4234";"2010-01-01";1098;2009;52;82.2578069120229
"4258";"2010-01-08";1159;2010;1;135.566238864686
"4266";"2010-01-15";1127;2010;2;112.134286201964
"4274";"2010-01-22";1120;2010;3;96.722303953443
"4282";"2010-01-29";1058;2010;4;94.0773335392419
"4290";"2010-02-05";1102;2010;5;102.282215196047
"4298";"2010-02-12";1128;2010;6;105.946416379479
"4306";"2010-02-19";1135;2010;7;117.630587977112
"4314";"2010-02-26";1177;2010;8;101.863576142792
"4322";"2010-03-05";1182;2010;9;106.785173775928
"4330";"2010-03-12";1128;2010;10;86.5033690422005
"4338";"2010-03-19";1067;2010;11;74.4294045451591
"4346";"2010-03-26";1095;2010;12;66.231179693088
"4354";"2010-04-02";1056;2010;13;52.9220080954549
"4362";"2010-04-09";1090;2010;14;40.5847299889461
"4370";"2010-04-16";1091;2010;15;34.0691974445674
"4378";"2010-04-23";1076;2010;16;6.52038087651995
"4386";"2010-04-30";1022;2010;17;-15.9648262240717
"4394";"2010-05-07";1039;2010;18;2.94271815462646
"4402";"2010-05-14";1005;2010;19;-12.4411575850185
"4410";"2010-05-21";1079;2010;20;-42.043968235906
"4418";"2010-05-28";960;2010;21;-49.9847966382729
"4426";"2010-06-04";921;2010;22;-60.1970747447819
"4434";"2010-06-11";950;2010;23;-52.3405658690422
"4442";"2010-06-18";972;2010;24;-61.0868676441902
"4450";"2010-06-25";995;2010;25;-61.5469268157879
"4458";"2010-07-02";1093;2010;26;-59.8531398335393
"4466";"2010-07-09";955;2010;27;-66.780073476819
"4474";"2010-07-16";991;2010;28;-75.8947712790169
"4482";"2010-07-23";980;2010;29;-59.3247163339619
"4490";"2010-07-30";977;2010;30;-53.813727322973
"4498";"2010-08-06";978;2010;31;-64.2265020482477
"4506";"2010-08-13";994;2010;32;-64.2917493009949
"4514";"2010-08-20";940;2010;33;-95.8226558944015
"4522";"2010-08-27";998;2010;34;-71.6557602900059
"4530";"2010-09-03";949;2010;35;-91.1901009493465
"4538";"2010-09-10";993;2010;36;-78.6873536965993
"4546";"2010-09-17";994;2010;37;-63.7539745757202
"4554";"2010-09-24";1039;2010;38;-44.588346934131
"4562";"2010-10-01";937;2010;39;-64.9234061057287
"4570";"2010-10-08";965;2010;40;-57.1297670524742
"4578";"2010-10-15";1001;2010;41;-48.6127552181547
"4586";"2010-10-22";1058;2010;42;-47.8324297743677
"4594";"2010-10-29";990;2010;43;-44.7177848039535
"4602";"2010-11-05";1019;2010;44;-31.3146782950777
"4610";"2010-11-12";1021;2010;45;-27.1475185317641
"4618";"2010-11-19";947;2010;46;-19.0321339163795
"4626";"2010-11-26";1032;2010;47;-17.0232581767345
"4634";"2010-12-03";1106;2010;48;12.1320672670525
"4642";"2010-12-10";1109;2010;49;49.1202329475259
"4650";"2010-12-17";1121;2010;50;50.981179693088
"4658";"2010-12-24";1160;2010;51;71.52038087652
"4666";"2010-12-31";1125;2010;52;82.2578069120229
"4682";"2011-01-07";1244;2011;1;135.566238864686
"4690";"2011-01-14";1099;2011;2;112.134286201964
"4698";"2011-01-21";1093;2011;3;96.722303953443
"4706";"2011-01-28";1086;2011;4;94.0773335392419
"4714";"2011-02-04";1067;2011;5;102.282215196047
"4722";"2011-02-11";1055;2011;6;105.946416379479
"4730";"2011-02-18";1124;2011;7;117.630587977112
"4738";"2011-02-25";1035;2011;8;101.863576142792
"4746";"2011-03-04";1117;2011;9;106.785173775928
"4754";"2011-03-11";1089;2011;10;86.5033690422005
"4762";"2011-03-18";1087;2011;11;74.4294045451591
"4770";"2011-03-25";1006;2011;12;66.231179693088
"4778";"2011-04-01";1071;2011;13;52.9220080954549
"4786";"2011-04-08";1013;2011;14;40.5847299889461
"4794";"2011-04-15";938;2011;15;34.0691974445674
"4802";"2011-04-22";956;2011;16;6.52038087651995
"4810";"2011-04-29";1011;2011;17;-15.9648262240717
"4818";"2011-05-06";1028;2011;18;2.94271815462646
"4826";"2011-05-13";1007;2011;19;-12.4411575850185
"4834";"2011-05-20";951;2011;20;-42.043968235906
"4842";"2011-05-27";983;2011;21;-49.9847966382729
"4850";"2011-06-03";914;2011;22;-60.1970747447819
"4858";"2011-06-10";986;2011;23;-52.3405658690422
"4866";"2011-06-17";964;2011;24;-61.0868676441902
"4874";"2011-06-24";926;2011;25;-61.5469268157879
"4882";"2011-07-01";994;2011;26;-59.8531398335393
"4890";"2011-07-08";945;2011;27;-66.780073476819
"4898";"2011-07-15";998;2011;28;-75.8947712790169
"4906";"2011-07-22";906;2011;29;-59.3247163339619
"4914";"2011-07-29";972;2011;30;-53.813727322973
"4922";"2011-08-05";912;2011;31;-64.2265020482477
"4930";"2011-08-12";904;2011;32;-64.2917493009949
"4938";"2011-08-19";906;2011;33;-95.8226558944015
"4946";"2011-08-26";921;2011;34;-71.6557602900059
"4954";"2011-09-02";935;2011;35;-91.1901009493465
"4962";"2011-09-09";929;2011;36;-78.6873536965993
"4970";"2011-09-16";933;2011;37;-63.7539745757202
"4978";"2011-09-23";1007;2011;38;-44.588346934131
"4986";"2011-09-30";962;2011;39;-64.9234061057287
"4994";"2011-10-07";918;2011;40;-57.1297670524742
"5002";"2011-10-14";942;2011;41;-48.6127552181547
"5010";"2011-10-21";971;2011;42;-47.8324297743677
"5018";"2011-10-28";983;2011;43;-44.7177848039535
"5026";"2011-11-04";1029;2011;44;-31.3146782950777
"5034";"2011-11-11";967;2011;45;-27.1475185317641
"5042";"2011-11-18";950;2011;46;-19.0321339163795
"5050";"2011-11-25";1002;2011;47;-17.0232581767345
"5058";"2011-12-02";1095;2011;48;12.1320672670525
"5066";"2011-12-09";1095;2011;49;49.1202329475259
"5074";"2011-12-16";1099;2011;50;50.981179693088
"5082";"2011-12-23";1125;2011;51;71.52038087652
"5090";"2011-12-30";1125;2011;52;82.2578069120229
"5106";"2012-01-06";1089;2012;1;135.566238864686
"5114";"2012-01-13";1083;2012;2;112.134286201964
"5122";"2012-01-20";1052;2012;3;96.722303953443
"5130";"2012-01-27";1142;2012;4;94.0773335392419
"5138";"2012-02-03";983;2012;5;102.282215196047
"5146";"2012-02-10";1080;2012;6;105.946416379479
"5154";"2012-02-17";1086;2012;7;117.630587977112
"5162";"2012-02-24";1106;2012;8;101.863576142792
"5170";"2012-03-02";1067;2012;9;106.785173775928
"5178";"2012-03-09";974;2012;10;86.5033690422005
"5186";"2012-03-16";1024;2012;11;74.4294045451591
"5194";"2012-03-23";1029;2012;12;66.231179693088
"5202";"2012-03-30";1023;2012;13;52.9220080954549
"5210";"2012-04-06";1037;2012;14;40.5847299889461
"5218";"2012-04-13";1045;2012;15;34.0691974445674
"5226";"2012-04-20";1059;2012;16;6.52038087651995
"5234";"2012-04-27";1036;2012;17;-15.9648262240717
"5242";"2012-05-04";984;2012;18;2.94271815462646
"5250";"2012-05-11";1013;2012;19;-12.4411575850185
"5258";"2012-05-18";944;2012;20;-42.043968235906
"5266";"2012-05-25";952;2012;21;-49.9847966382729
"5274";"2012-06-01";956;2012;22;-60.1970747447819
"5282";"2012-06-08";996;2012;23;-52.3405658690422
"5290";"2012-06-15";916;2012;24;-61.0868676441902
"5298";"2012-06-22";994;2012;25;-61.5469268157879
"5306";"2012-06-29";983;2012;26;-59.8531398335393
"5314";"2012-07-06";914;2012;27;-66.780073476819
"5322";"2012-07-13";924;2012;28;-75.8947712790169
"5330";"2012-07-20";932;2012;29;-59.3247163339619
"5338";"2012-07-27";970;2012;30;-53.813727322973
"5346";"2012-08-03";923;2012;31;-64.2265020482477
"5354";"2012-08-10";940;2012;32;-64.2917493009949
"5362";"2012-08-17";898;2012;33;-95.8226558944015
"5370";"2012-08-24";949;2012;34;-71.6557602900059
"5378";"2012-08-31";939;2012;35;-91.1901009493465
"5386";"2012-09-07";886;2012;36;-78.6873536965993
"5394";"2012-09-14";974;2012;37;-63.7539745757202
"5402";"2012-09-21";936;2012;38;-44.588346934131
"5410";"2012-09-28";949;2012;39;-64.9234061057287
"5418";"2012-10-05";984;2012;40;-57.1297670524742
"5426";"2012-10-12";1008;2012;41;-48.6127552181547
"5434";"2012-10-19";982;2012;42;-47.8324297743677
"5442";"2012-10-26";947;2012;43;-44.7177848039535
"5450";"2012-11-02";973;2012;44;-31.3146782950777
"5458";"2012-11-09";1005;2012;45;-27.1475185317641
"5466";"2012-11-16";976;2012;46;-19.0321339163795
"5474";"2012-11-23";972;2012;47;-17.0232581767345
"5482";"2012-11-30";984;2012;48;12.1320672670525
"5490";"2012-12-07";1009;2012;49;49.1202329475259
"5498";"2012-12-14";1022;2012;50;50.981179693088
"5506";"2012-12-21";1151;2012;51;71.52038087652
