"";"date";"X2021";"X2020";"X2019";"X2018";"X2017";"X2016"
"1";"1-1";"3514";"2690";"2639";"2665";"2912";"2558"
"2";"1-2";"3488";"2813";"2642";"2760";"3085";"2422"
"3";"1-3";"3381";"2761";"2610";"2870";"2923";"2522"
"4";"1-4";"3725";"2775";"2782";"2865";"2973";"2743"
"5";"1-5";"3525";"2537";"2818";"2875";"3055";"2633"
"6";"1-6";"3594";"2672";"2616";"2763";"2979";"2578"
"7";"1-7";"3549";"2809";"2749";"2544";"2949";"2584"
"8";"1-8";"3524";"2839";"2823";"2659";"2954";"2765"
"9";"1-9";"3419";"2915";"2758";"2589";"3088";"2579"
"10";"1-10";"3306";"2891";"2750";"2805";"3256";"2585"
"11";"1-11";"3616";"2686";"2796";"2705";"3213";"2751"
"12";"1-12";"3554";"2620";"2681";"2731";"3145";"2627"
"13";"1-13";"3484";"2766";"2613";"2679";"3240";"2698"
"14";"1-14";"3541";"2838";"2787";"2602";"3079";"2581"
"15";"1-15";"3545";"2697";"2800";"2754";"3049";"2657"
"16";"1-16";"3339";"2889";"2790";"2849";"3036";"2627"
"17";"1-17";"3210";"2707";"2786";"2731";"3011";"2498"
"18";"1-18";"3597";"2696";"2776";"2831";"2956";"2624"
"19";"1-19";"3477";"2594";"2610";"2803";"3077";"2641"
"20";"1-20";"3460";"2641";"2614";"2645";"3073";"2640"
"21";"1-21";"3509";"2710";"2693";"2574";"3120";"2685"
"22";"1-22";"3526";"2694";"2742";"2763";"2963";"2668"
"23";"1-23";"3268";"2730";"2865";"2761";"3151";"2688"
"24";"1-24";"3123";"2843";"2835";"2816";"3226";"2681"
"25";"1-25";"3507";"2677";"2833";"2796";"3155";"2777"
"26";"1-26";"3262";"2652";"2797";"2804";"3196";"2679"
"27";"1-27";"3272";"2824";"2740";"2640";"3167";"2691"
"28";"1-28";"3268";"2904";"2904";"2591";"3114";"2639"
"29";"1-29";"3270";"2842";"2748";"2897";"3074";"2755"
"30";"1-30";"3028";"2779";"2729";"2728";"3404";"2650"
"31";"1-31";"2925";"2925";"2779";"2878";"3410";"2516"
"32";"2-1";"3378";"2810";"3012";"2826";"3290";"2683"
"33";"2-2";"3121";"2740";"2875";"2811";"3316";"2745"
"34";"2-3";"3227";"2740";"2765";"2764";"3535";"2518"
"35";"2-4";"3046";"2900";"2812";"2654";"3427";"2579"
"36";"2-5";"2987";"2694";"2890";"2835";"3258";"2649"
"37";"2-6";"3067";"2603";"2898";"2784";"3286";"2700"
"38";"2-7";"2805";"2756";"2882";"2983";"3337";"2619"
"39";"2-8";"3247";"2715";"2847";"2887";"3232";"2663"
"40";"2-9";"3042";"2630";"2847";"2871";"3217";"2640"
"41";"2-10";"2949";"2854";"2805";"2872";"3360";"2751"
"42";"2-11";"2976";"2845";"2853";"2854";"3168";"2594"
"43";"2-12";"3124";"2788";"2860";"3012";"3144";"2620"
"44";"2-13";"2897";"2802";"2890";"3041";"3298";"2701"
"45";"2-14";"2685";"2797";"2910";"2965";"3222";"2572"
"46";"2-15";"3214";"2812";"2977";"3031";"3292";"2643"
"47";"2-16";"3148";"2766";"2844";"3105";"3342";"2506"
