"";"date";"deaths";"year";"week";"seasonal"
"6811";"2016-01-08";18467;2016;1;1457.50406804734
"6819";"2016-01-15";18439;2016;2;1855.26368343195
"6827";"2016-01-22";18627;2016;3;1689.1362795858
"6835";"2016-01-29";18707;2016;4;1922.18195266272
"6843";"2016-02-05";18493;2016;5;2697.63868343195
"6851";"2016-02-12";18541;2016;6;2441.85022189349
"6859";"2016-02-19";18483;2016;7;2903.80214497041
"6867";"2016-02-26";18475;2016;8;3072.82137573964
"6875";"2016-03-04";18926;2016;9;3644.54493343195
"6883";"2016-03-11";18888;2016;10;3448.52089497041
"6891";"2016-03-18";18971;2016;11;2633.5425295858
"6899";"2016-03-25";18826;2016;12;1737.15310650887
"6907";"2016-04-01";18617;2016;13;1162.96320266272
"6915";"2016-04-08";18244;2016;14;1026.9487795858
"6923";"2016-04-15";17712;2016;15;535.160318047336
"6931";"2016-04-22";16775;2016;16;-72.9310281065115
"6939";"2016-04-29";17053;2016;17;-280.803624260356
"6947";"2016-05-06";16901;2016;18;-849.510355029588
"6955";"2016-05-13";17629;2016;19;-754.404585798817
"6963";"2016-05-20";16601;2016;20;-1122.95987426036
"6971";"2016-05-27";16286;2016;21;-1298.4262204142
"6979";"2016-06-03";16346;2016;22;-1206.63054733728
"6987";"2016-06-10";15799;2016;23;-1299.08727810651
"6995";"2016-06-17";15717;2016;24;-1961.66179733728
"7003";"2016-06-24";16910;2016;25;-1751.79160502959
"7011";"2016-07-01";15699;2016;26;-1239.28198964497
"7019";"2016-07-08";16229;2016;27;-1612.26564349113
"7027";"2016-07-15";16172;2016;28;-2023.8214127219
"7035";"2016-07-22";16985;2016;29;-1378.85218195266
"7043";"2016-07-29";16157;2016;30;-709.509874260356
"7051";"2016-08-05";15439;2016;31;-791.671412721894
"7059";"2016-08-12";15487;2016;32;-1396.97141272189
"7067";"2016-08-19";16258;2016;33;-1175.84833579882
"7075";"2016-08-26";17147;2016;34;-1472.55410502958
"7083";"2016-09-02";16101;2016;35;-1675.87141272189
"7091";"2016-09-09";16116;2016;36;-1976.79064349112
"7099";"2016-09-16";16372;2016;37;-1640.00314349112
"7107";"2016-09-23";15606;2016;38;-1607.18823964497
"7115";"2016-09-30";16336;2016;39;-1314.03679733727
"7123";"2016-10-07";16352;2016;40;-1301.71227810651
"7131";"2016-10-14";17427;2016;41;-559.49593195266
"7139";"2016-10-21";17599;2016;42;-710.524778106504
"7147";"2016-10-28";17586;2016;43;-825.938239644968
"7155";"2016-11-04";17580;2016;44;-795.762758875737
"7163";"2016-11-11";17782;2016;45;-325.491124260354
"7171";"2016-11-18";18591;2016;46;-163.22189349112
"7179";"2016-11-25";17911;2016;47;-6.78439349112315
"7187";"2016-12-02";18146;2016;48;187.093010355029
"7195";"2016-12-09";18793;2016;49;652.037721893491
"7203";"2016-12-16";18885;2016;50;611.352625739645
"7211";"2016-12-23";19376;2016;51;984.193971893493
"7219";"2016-12-30";19744;2016;52;638.095414201184
"7235";"2017-01-06";20918;2017;1;1457.50406804734
"7243";"2017-01-13";22070;2017;2;1855.26368343195
"7251";"2017-01-20";21236;2017;3;1689.1362795858
"7259";"2017-01-27";22083;2017;4;1922.18195266272
"7267";"2017-02-03";23640;2017;5;2697.63868343195
"7275";"2017-02-10";22744;2017;6;2441.85022189349
"7283";"2017-02-17";22683;2017;7;2903.80214497041
"7291";"2017-02-24";22266;2017;8;3072.82137573964
"7299";"2017-03-03";20930;2017;9;3644.54493343195
"7307";"2017-03-10";19102;2017;10;3448.52089497041
"7315";"2017-03-17";18665;2017;11;2633.5425295858
"7323";"2017-03-24";17640;2017;12;1737.15310650887
"7331";"2017-03-31";17731;2017;13;1162.96320266272
"7339";"2017-04-07";17028;2017;14;1026.9487795858
"7347";"2017-04-14";16901;2017;15;535.160318047336
"7355";"2017-04-21";16637;2017;16;-72.9310281065115
"7363";"2017-04-28";17634;2017;17;-280.803624260356
"7371";"2017-05-05";17129;2017;18;-849.510355029588
"7379";"2017-05-12";17343;2017;19;-754.404585798817
"7387";"2017-05-19";17079;2017;20;-1122.95987426036
"7395";"2017-05-26";16451;2017;21;-1298.4262204142
"7403";"2017-06-02";16902;2017;22;-1206.63054733728
"7411";"2017-06-09";15846;2017;23;-1299.08727810651
"7419";"2017-06-16";16087;2017;24;-1961.66179733728
"7427";"2017-06-23";16819;2017;25;-1751.79160502959
"7435";"2017-06-30";16076;2017;26;-1239.28198964497
"7443";"2017-07-07";16424;2017;27;-1612.26564349113
"7451";"2017-07-14";15603;2017;28;-2023.8214127219
"7459";"2017-07-21";16589;2017;29;-1378.85218195266
"7467";"2017-07-28";16058;2017;30;-709.509874260356
"7475";"2017-08-04";16494;2017;31;-791.671412721894
"7483";"2017-08-11";15784;2017;32;-1396.97141272189
"7491";"2017-08-18";16148;2017;33;-1175.84833579882
"7499";"2017-08-25";15880;2017;34;-1472.55410502958
"7507";"2017-09-01";16064;2017;35;-1675.87141272189
"7515";"2017-09-08";15706;2017;36;-1976.79064349112
"7523";"2017-09-15";16146;2017;37;-1640.00314349112
"7531";"2017-09-22";16505;2017;38;-1607.18823964497
"7539";"2017-09-29";16747;2017;39;-1314.03679733727
"7547";"2017-10-06";16664;2017;40;-1301.71227810651
"7555";"2017-10-13";17470;2017;41;-559.49593195266
"7563";"2017-10-20";17139;2017;42;-710.524778106504
"7571";"2017-10-27";17059;2017;43;-825.938239644968
"7579";"2017-11-03";16762;2017;44;-795.762758875737
"7587";"2017-11-10";17371;2017;45;-325.491124260354
"7595";"2017-11-17";17594;2017;46;-163.22189349112
"7603";"2017-11-24";17676;2017;47;-6.78439349112315
"7611";"2017-12-01";17877;2017;48;187.093010355029
"7619";"2017-12-08";18295;2017;49;652.037721893491
"7627";"2017-12-15";18504;2017;50;611.352625739645
"7635";"2017-12-22";18500;2017;51;984.193971893493
"7643";"2017-12-29";18652;2017;52;638.095414201184
"7659";"2018-01-12";19342;2018;1;1457.50406804734
"7667";"2018-01-19";18770;2018;2;1855.26368343195
"7675";"2018-01-26";19187;2018;3;1689.1362795858
"7683";"2018-02-02";19171;2018;4;1922.18195266272
"7691";"2018-02-09";19558;2018;5;2697.63868343195
"7699";"2018-02-16";20086;2018;6;2441.85022189349
"7707";"2018-02-23";21254;2018;7;2903.80214497041
"7715";"2018-03-02";22888;2018;8;3072.82137573964
"7723";"2018-03-09";25535;2018;9;3644.54493343195
"7731";"2018-03-16";26777;2018;10;3448.52089497041
"7739";"2018-03-23";24385;2018;11;2633.5425295858
"7747";"2018-03-30";22777;2018;12;1737.15310650887
"7755";"2018-04-06";20906;2018;13;1162.96320266272
"7763";"2018-04-13";20038;2018;14;1026.9487795858
"7771";"2018-04-20";19165;2018;15;535.160318047336
"7779";"2018-04-27";17992;2018;16;-72.9310281065115
"7787";"2018-05-04";17093;2018;17;-280.803624260356
"7795";"2018-05-11";16789;2018;18;-849.510355029588
"7803";"2018-05-18";17226;2018;19;-754.404585798817
"7811";"2018-05-25";16488;2018;20;-1122.95987426036
