"";"date";"deaths"
"6811";"2016-01-08";18467
"6819";"2016-01-15";18439
"6827";"2016-01-22";18627
"6835";"2016-01-29";18707
"6843";"2016-02-05";18493
"6851";"2016-02-12";18541
"6859";"2016-02-19";18483
"6867";"2016-02-26";18475
"6875";"2016-03-04";18926
"6883";"2016-03-11";18888
"6891";"2016-03-18";18971
"6899";"2016-03-25";18826
"6907";"2016-04-01";18617
"6915";"2016-04-08";18244
"6923";"2016-04-15";17712
"6931";"2016-04-22";16775
"6939";"2016-04-29";17053
"6947";"2016-05-06";16901
"6955";"2016-05-13";17629
"6963";"2016-05-20";16601
"6971";"2016-05-27";16286
"6979";"2016-06-03";16346
"6987";"2016-06-10";15799
"6995";"2016-06-17";15717
"7003";"2016-06-24";16910
"7011";"2016-07-01";15699
"7019";"2016-07-08";16229
"7027";"2016-07-15";16172
"7035";"2016-07-22";16985
"7043";"2016-07-29";16157
"7051";"2016-08-05";15439
"7059";"2016-08-12";15487
"7067";"2016-08-19";16258
"7075";"2016-08-26";17147
"7083";"2016-09-02";16101
"7091";"2016-09-09";16116
"7099";"2016-09-16";16372
"7107";"2016-09-23";15606
"7115";"2016-09-30";16336
"7123";"2016-10-07";16352
"7131";"2016-10-14";17427
"7139";"2016-10-21";17599
"7147";"2016-10-28";17586
"7155";"2016-11-04";17580
"7163";"2016-11-11";17782
"7171";"2016-11-18";18591
"7179";"2016-11-25";17911
"7187";"2016-12-02";18146
"7195";"2016-12-09";18793
"7203";"2016-12-16";18885
"7211";"2016-12-23";19376
"7219";"2016-12-30";19744
"7235";"2017-01-06";20918
"7243";"2017-01-13";22070
"7251";"2017-01-20";21236
"7259";"2017-01-27";22083
"7267";"2017-02-03";23640
"7275";"2017-02-10";22744
"7283";"2017-02-17";22683
"7291";"2017-02-24";22266
"7299";"2017-03-03";20930
"7307";"2017-03-10";19102
"7315";"2017-03-17";18665
"7323";"2017-03-24";17640
"7331";"2017-03-31";17731
"7339";"2017-04-07";17028
"7347";"2017-04-14";16901
"7355";"2017-04-21";16637
"7363";"2017-04-28";17634
"7371";"2017-05-05";17129
"7379";"2017-05-12";17343
"7387";"2017-05-19";17079
"7395";"2017-05-26";16451
"7403";"2017-06-02";16902
"7411";"2017-06-09";15846
"7419";"2017-06-16";16087
"7427";"2017-06-23";16819
"7435";"2017-06-30";16076
"7443";"2017-07-07";16424
"7451";"2017-07-14";15603
"7459";"2017-07-21";16589
"7467";"2017-07-28";16058
"7475";"2017-08-04";16494
"7483";"2017-08-11";15784
"7491";"2017-08-18";16148
"7499";"2017-08-25";15880
"7507";"2017-09-01";16064
"7515";"2017-09-08";15706
"7523";"2017-09-15";16146
"7531";"2017-09-22";16505
"7539";"2017-09-29";16747
"7547";"2017-10-06";16664
"7555";"2017-10-13";17470
"7563";"2017-10-20";17139
"7571";"2017-10-27";17059
"7579";"2017-11-03";16762
"7587";"2017-11-10";17371
"7595";"2017-11-17";17594
"7603";"2017-11-24";17676
"7611";"2017-12-01";17877
"7619";"2017-12-08";18295
"7627";"2017-12-15";18504
"7635";"2017-12-22";18500
"7643";"2017-12-29";18652
"7659";"2018-01-12";19342
"7667";"2018-01-19";18770
"7675";"2018-01-26";19187
"7683";"2018-02-02";19171
"7691";"2018-02-09";19558
"7699";"2018-02-16";20086
"7707";"2018-02-23";21254
"7715";"2018-03-02";22888
"7723";"2018-03-09";25535
"7731";"2018-03-16";26777
"7739";"2018-03-23";24385
"7747";"2018-03-30";22777
"7755";"2018-04-06";20906
"7763";"2018-04-13";20038
"7771";"2018-04-20";19165
"7779";"2018-04-27";17992
"7787";"2018-05-04";17093
"7795";"2018-05-11";16789
"7803";"2018-05-18";17226
"7811";"2018-05-25";16488
"7819";"2018-06-01";16513
"7827";"2018-06-08";17039
"7835";"2018-06-15";16714
"7843";"2018-06-22";15582
"7851";"2018-06-29";15843
"7859";"2018-07-06";16569
"7867";"2018-07-13";16622
"7875";"2018-07-20";16070
"7883";"2018-07-27";16702
"7891";"2018-08-03";18340
"7899";"2018-08-10";20371
"7907";"2018-08-17";18478
