"";"date";"deaths";"year";"week"
"4685";"2011-01-07";13118;2011;1
"4693";"2011-01-14";13104;2011;2
"4701";"2011-01-21";12946;2011;3
"4709";"2011-01-28";13111;2011;4
"4717";"2011-02-04";12870;2011;5
"4725";"2011-02-11";13230;2011;6
"4733";"2011-02-18";13008;2011;7
"4741";"2011-02-25";12543;2011;8
"4749";"2011-03-04";12960;2011;9
"4757";"2011-03-11";12880;2011;10
"4765";"2011-03-18";12466;2011;11
"4773";"2011-03-25";11723;2011;12
"4781";"2011-04-01";11887;2011;13
"4789";"2011-04-08";11674;2011;14
"4797";"2011-04-15";11043;2011;15
"4805";"2011-04-22";11520;2011;16
"4813";"2011-04-29";11475;2011;17
"4821";"2011-05-06";10990;2011;18
"4829";"2011-05-13";11420;2011;19
"4837";"2011-05-20";11218;2011;20
"4845";"2011-05-27";11497;2011;21
"4853";"2011-06-03";10503;2011;22
"4861";"2011-06-10";10349;2011;23
"4869";"2011-06-17";10571;2011;24
"4877";"2011-06-24";10959;2011;25
"4885";"2011-07-01";10932;2011;26
"4893";"2011-07-08";10811;2011;27
"4901";"2011-07-15";11742;2011;28
"4909";"2011-07-22";10358;2011;29
"4917";"2011-07-29";10141;2011;30
"4925";"2011-08-05";11046;2011;31
"4933";"2011-08-12";10664;2011;32
"4941";"2011-08-19";11249;2011;33
"4949";"2011-08-26";12336;2011;34
"4957";"2011-09-02";11000;2011;35
"4965";"2011-09-09";10524;2011;36
"4973";"2011-09-16";10508;2011;37
"4981";"2011-09-23";10398;2011;38
"4989";"2011-09-30";10619;2011;39
"4997";"2011-10-07";10465;2011;40
"5005";"2011-10-14";10985;2011;41
"5013";"2011-10-21";11769;2011;42
"5021";"2011-10-28";11876;2011;43
"5029";"2011-11-04";11682;2011;44
"5037";"2011-11-11";11240;2011;45
"5045";"2011-11-18";11839;2011;46
"5053";"2011-11-25";12279;2011;47
"5061";"2011-12-02";12006;2011;48
"5069";"2011-12-09";12166;2011;49
"5077";"2011-12-16";12352;2011;50
"5085";"2011-12-23";12528;2011;51
"5093";"2011-12-30";13609;2011;52
"5109";"2012-01-06";13668;2012;1
"5117";"2012-01-13";13919;2012;2
"5125";"2012-01-20";14098;2012;3
"5133";"2012-01-27";14099;2012;4
"5141";"2012-02-03";14693;2012;5
"5149";"2012-02-10";15672;2012;6
"5157";"2012-02-17";16114;2012;7
"5165";"2012-02-24";15370;2012;8
"5173";"2012-03-02";14199;2012;9
"5181";"2012-03-09";12914;2012;10
"5189";"2012-03-16";12814;2012;11
"5197";"2012-03-23";12281;2012;12
"5205";"2012-03-30";12164;2012;13
"5213";"2012-04-06";11472;2012;14
"5221";"2012-04-13";11533;2012;15
"5229";"2012-04-20";11297;2012;16
"5237";"2012-04-27";11341;2012;17
"5245";"2012-05-04";11004;2012;18
"5253";"2012-05-11";11113;2012;19
"5261";"2012-05-18";10427;2012;20
"5269";"2012-05-25";10696;2012;21
"5277";"2012-06-01";10981;2012;22
"5285";"2012-06-08";10730;2012;23
"5293";"2012-06-15";10577;2012;24
"5301";"2012-06-22";11933;2012;25
"5309";"2012-06-29";11579;2012;26
"5317";"2012-07-06";11300;2012;27
"5325";"2012-07-13";11426;2012;28
"5333";"2012-07-20";10805;2012;29
"5341";"2012-07-27";10822;2012;30
"5349";"2012-08-03";11224;2012;31
"5357";"2012-08-10";11478;2012;32
"5365";"2012-08-17";11078;2012;33
"5373";"2012-08-24";12101;2012;34
"5381";"2012-08-31";10601;2012;35
"5389";"2012-09-07";10544;2012;36
"5397";"2012-09-14";10384;2012;37
"5405";"2012-09-21";10626;2012;38
"5413";"2012-09-28";11063;2012;39
"5421";"2012-10-05";10721;2012;40
"5429";"2012-10-12";10524;2012;41
"5437";"2012-10-19";10920;2012;42
"5445";"2012-10-26";11333;2012;43
"5453";"2012-11-02";11336;2012;44
"5461";"2012-11-09";11459;2012;45
"5469";"2012-11-16";11330;2012;46
"5477";"2012-11-23";11143;2012;47
"5485";"2012-11-30";11445;2012;48
"5493";"2012-12-07";12045;2012;49
"5501";"2012-12-14";12970;2012;50
"5509";"2012-12-21";12871;2012;51
"5517";"2012-12-28";12846;2012;52
"5533";"2013-01-11";13095;2013;1
"5541";"2013-01-18";12855;2013;2
"5549";"2013-01-25";12898;2013;3
"5557";"2013-02-01";12849;2013;4
"5565";"2013-02-08";13450;2013;5
"5573";"2013-02-15";13269;2013;6
"5581";"2013-02-22";13885;2013;7
"5589";"2013-03-01";14002;2013;8
"5597";"2013-03-08";13666;2013;9
"5605";"2013-03-15";13541;2013;10
"5613";"2013-03-22";12511;2013;11
"5621";"2013-03-29";12561;2013;12
"5629";"2013-04-05";11950;2013;13
"5637";"2013-04-12";11862;2013;14
"5645";"2013-04-19";11837;2013;15
"5653";"2013-04-26";11447;2013;16
"5661";"2013-05-03";10833;2013;17
"5669";"2013-05-10";11235;2013;18
"5677";"2013-05-17";10548;2013;19
"5685";"2013-05-24";10551;2013;20
"5693";"2013-05-31";10557;2013;21
"5701";"2013-06-07";11140;2013;22
"5709";"2013-06-14";11420;2013;23
"5717";"2013-06-21";11587;2013;24
"5725";"2013-06-28";12552;2013;25
"5733";"2013-07-05";10364;2013;26
"5741";"2013-07-12";10851;2013;27
"5749";"2013-07-19";10752;2013;28
"5757";"2013-07-26";10471;2013;29
"5765";"2013-08-02";11141;2013;30
"5773";"2013-08-09";11428;2013;31
"5781";"2013-08-16";12203;2013;32
"5789";"2013-08-23";10764;2013;33
"5797";"2013-08-30";10512;2013;34
"5805";"2013-09-06";10274;2013;35
"5813";"2013-09-13";10414;2013;36
"5821";"2013-09-20";10015;2013;37
"5829";"2013-09-27";10367;2013;38
"5837";"2013-10-04";10893;2013;39
"5845";"2013-10-11";10407;2013;40
"5853";"2013-10-18";11161;2013;41
"5861";"2013-10-25";11277;2013;42
"5869";"2013-11-01";11661;2013;43
"5877";"2013-11-08";10942;2013;44
"5885";"2013-11-15";10964;2013;45
"5893";"2013-11-22";11180;2013;46
"5901";"2013-11-29";11633;2013;47
"5909";"2013-12-06";12243;2013;48
"5917";"2013-12-13";12497;2013;49
"5925";"2013-12-20";12634;2013;50
"5933";"2013-12-27";12639;2013;51
"5941";"2014-01-03";12967;2013;52
"5957";"2014-01-10";13432;2014;1
"5965";"2014-01-17";13165;2014;2
"5973";"2014-01-24";12807;2014;3
"5981";"2014-01-31";12862;2014;4
"5989";"2014-02-07";13161;2014;5
"5997";"2014-02-14";13102;2014;6
"6005";"2014-02-21";12981;2014;7
"6013";"2014-02-28";12606;2014;8
"6021";"2014-03-07";12745;2014;9
"6029";"2014-03-14";12624;2014;10
"6037";"2014-03-21";13050;2014;11
"6045";"2014-03-28";12649;2014;12
"6053";"2014-04-04";11972;2014;13
"6061";"2014-04-11";12170;2014;14
"6069";"2014-04-18";11863;2014;15
"6077";"2014-04-25";11417;2014;16
"6085";"2014-05-02";11643;2014;17
"6093";"2014-05-09";11163;2014;18
"6101";"2014-05-16";11602;2014;19
"6109";"2014-05-23";11056;2014;20
"6117";"2014-05-30";11344;2014;21
"6125";"2014-06-06";10951;2014;22
"6133";"2014-06-13";10972;2014;23
"6141";"2014-06-20";12307;2014;24
"6149";"2014-06-27";10260;2014;25
