"";"date";"deaths";"year";"week";"seasonal"
"4";"2000-01-07";9414;2000;1;1484.48306873415
"12";"2000-01-14";9875;2000;2;1649.12537642646
"20";"2000-01-21";9626;2000;3;1699.3104725803
"28";"2000-01-28";9426;2000;4;1480.04268411877
"36";"2000-02-04";8759;2000;5;1436.48162642646
"44";"2000-02-11";7858;2000;6;1295.05806873415
"52";"2000-02-18";7514;2000;7;1169.1167225803
"60";"2000-02-25";7219;2000;8;993.138357195689
"68";"2000-03-03";7014;2000;9;841.311434118766
"76";"2000-03-10";6918;2000;10;705.610953349535
"84";"2000-03-17";6647;2000;11;498.465280272612
"92";"2000-03-24";6566;2000;12;454.431626426458
"100";"2000-03-31";6846;2000;13;701.410472580304
"108";"2000-04-07";6793;2000;14;673.65758796492
"116";"2000-04-14";7011;2000;15;384.038357195689
"124";"2000-04-21";6793;2000;16;53.9792225803045
"132";"2000-04-28";6553;2000;17;-152.653469727388
"140";"2000-05-05";6627;2000;18;-383.480392804311
"148";"2000-05-12";6305;2000;19;-375.122219727388
"156";"2000-05-19";6392;2000;20;-479.044815881234
"164";"2000-05-26";6052;2000;21;-528.704912035081
"172";"2000-06-02";6630;2000;22;-635.105873573542
"180";"2000-06-09";6147;2000;23;-694.379912035081
"188";"2000-06-16";6538;2000;24;-651.996258188927
"196";"2000-06-23";6324;2000;25;-553.682796650465
"204";"2000-06-30";6309;2000;26;-527.113085112004
"212";"2000-07-07";6385;2000;27;-508.842663866582
"220";"2000-07-14";6071;2000;28;-560.226363500282
"228";"2000-07-21";6359;2000;29;-640.219037492956
"236";"2000-07-28";6152;2000;30;-611.319770093689
"244";"2000-08-04";6355;2000;31;-472.455759104678
"252";"2000-08-11";6200;2000;32;-550.08671148563
"260";"2000-08-18";6489;2000;33;-685.380209654128
"268";"2000-08-25";6119;2000;34;-808.378836027755
"276";"2000-09-01";6056;2000;35;-853.706354342773
"284";"2000-09-08";5964;2000;36;-950.728469727388
"292";"2000-09-15";6077;2000;37;-1029.406835112
"300";"2000-09-22";5693;2000;38;-990.292892804311
"308";"2000-09-29";5899;2000;39;-893.025585112003
"316";"2000-10-06";6260;2000;40;-778.935200496619
"324";"2000-10-13";6382;2000;41;-681.168854342773
"332";"2000-10-20";6603;2000;42;-574.574142804311
"340";"2000-10-27";6614;2000;43;-477.215488958157
"348";"2000-11-03";6342;2000;44;-414.753950496618
"356";"2000-11-10";6742;2000;45;-272.753469727388
"364";"2000-11-17";6795;2000;46;-99.5640466504649
"372";"2000-11-24";6949;2000;47;-32.9005851120035
"380";"2000-12-01";6833;2000;48;119.454222580304
"388";"2000-12-08";6624;2000;49;216.247972580304
"396";"2000-12-15";6779;2000;50;399.370568734151
"404";"2000-12-22";6969;2000;51;649.527299503381
"412";"2000-12-29";7206;2000;52;962.95758796492
"428";"2001-01-12";7465;2001;1;1484.48306873415
"436";"2001-01-19";7281;2001;2;1649.12537642646
"444";"2001-01-26";7138;2001;3;1699.3104725803
"452";"2001-02-02";7435;2001;4;1480.04268411877
"460";"2001-02-09";7359;2001;5;1436.48162642646
"468";"2001-02-16";7147;2001;6;1295.05806873415
"476";"2001-02-23";7239;2001;7;1169.1167225803
