"";"date";"deaths";"year";"week";"seasonal"
"6";"2000-01-07";2364;2000;1;237.771268315018
"14";"2000-01-14";2232;2000;2;221.010210622711
"22";"2000-01-21";2093;2000;3;174.586172161172
"30";"2000-01-28";2087;2000;4;145.287133699634
"38";"2000-02-04";2016;2000;5;149.976076007326
"46";"2000-02-11";2050;2000;6;139.833287545787
"54";"2000-02-18";1882;2000;7;142.688095238095
"62";"2000-02-25";1892;2000;8;174.502037545787
"70";"2000-03-03";1832;2000;9;210.269345238095
"78";"2000-03-10";1813;2000;10;166.130402930403
"86";"2000-03-17";1751;2000;11;146.377518315018
"94";"2000-03-24";1852;2000;12;102.927518315018
"102";"2000-03-31";1732;2000;13;114.885210622711
"110";"2000-04-07";1709;2000;14;116.560210622711
"118";"2000-04-14";1846;2000;15;89.3722298534799
"126";"2000-04-21";1703;2000;16;69.3188644688645
"134";"2000-04-28";1682;2000;17;18.5659798534798
"142";"2000-05-05";1713;2000;18;-23.2412316849817
"150";"2000-05-12";1596;2000;19;-28.3369047619048
"158";"2000-05-19";1718;2000;20;-84.3941163003664
"166";"2000-05-26";1642;2000;21;-92.7546932234433
"174";"2000-06-02";1585;2000;22;-119.29652014652
"182";"2000-06-09";1596;2000;23;-136.674885531136
"190";"2000-06-16";1609;2000;24;-144.763347069597
"198";"2000-06-23";1725;2000;25;-123.162385531136
"206";"2000-06-30";1609;2000;26;-125.428250915751
"214";"2000-07-07";1690;2000;27;-94.3478479853481
"222";"2000-07-14";1631;2000;28;-124.291071428571
"230";"2000-07-21";1715;2000;29;-131.900503663004
"238";"2000-07-28";1652;2000;30;-134.762225274725
"246";"2000-08-04";1620;2000;31;-129.238873626374
"254";"2000-08-11";1617;2000;32;-145.494368131868
"262";"2000-08-18";1689;2000;33;-159.613873626374
"270";"2000-08-25";1539;2000;34;-157.386767399267
"278";"2000-09-01";1665;2000;35;-131.453617216117
"286";"2000-09-08";1673;2000;36;-124.558928571429
"294";"2000-09-15";1677;2000;37;-129.762385531136
"302";"2000-09-22";1571;2000;38;-107.358539377289
"310";"2000-09-29";1729;2000;39;-81.0128663003663
"318";"2000-10-06";1641;2000;40;-71.9349816849816
"326";"2000-10-13";1578;2000;41;-75.7066163003662
"334";"2000-10-20";1674;2000;42;-58.6994047619047
"342";"2000-10-27";1710;2000;43;-27.7268086080586
"350";"2000-11-03";1744;2000;44;-34.1119047619047
"358";"2000-11-10";1733;2000;45;-26.7465201465201
"366";"2000-11-17";1689;2000;46;-30.5085393772893
"374";"2000-11-24";1730;2000;47;-22.82152014652
"382";"2000-12-01";1715;2000;48;18.6116529304031
"390";"2000-12-08";1709;2000;49;48.0029990842492
"398";"2000-12-15";1748;2000;50;46.6746336996339
"406";"2000-12-22";1838;2000;51;112.39722985348
"414";"2000-12-29";2016;2000;52;231.742422161172
"430";"2001-01-12";1968;2001;1;237.771268315018
"438";"2001-01-19";1853;2001;2;221.010210622711
"446";"2001-01-26";1810;2001;3;174.586172161172
"454";"2001-02-02";1801;2001;4;145.287133699634
"462";"2001-02-09";1797;2001;5;149.976076007326
"470";"2001-02-16";1855;2001;6;139.833287545787
"478";"2001-02-23";1792;2001;7;142.688095238095
"486";"2001-03-02";1907;2001;8;174.502037545787
"494";"2001-03-09";1903;2001;9;210.269345238095
"502";"2001-03-16";1905;2001;10;166.130402930403
"510";"2001-03-23";1820;2001;11;146.377518315018
"518";"2001-03-30";1842;2001;12;102.927518315018
"526";"2001-04-06";1806;2001;13;114.885210622711
"534";"2001-04-13";1806;2001;14;116.560210622711
"542";"2001-04-20";1861;2001;15;89.3722298534799
"550";"2001-04-27";1901;2001;16;69.3188644688645
"558";"2001-05-04";1771;2001;17;18.5659798534798
"566";"2001-05-11";1820;2001;18;-23.2412316849817
"574";"2001-05-18";1764;2001;19;-28.3369047619048
"582";"2001-05-25";1796;2001;20;-84.3941163003664
"590";"2001-06-01";1712;2001;21;-92.7546932234433
"598";"2001-06-08";1684;2001;22;-119.29652014652
"606";"2001-06-15";1709;2001;23;-136.674885531136
"614";"2001-06-22";1736;2001;24;-144.763347069597
"622";"2001-06-29";1680;2001;25;-123.162385531136
"630";"2001-07-06";1782;2001;26;-125.428250915751
"638";"2001-07-13";1854;2001;27;-94.3478479853481
"646";"2001-07-20";1710;2001;28;-124.291071428571
"654";"2001-07-27";1646;2001;29;-131.900503663004
"662";"2001-08-03";1627;2001;30;-134.762225274725
"670";"2001-08-10";1665;2001;31;-129.238873626374
"678";"2001-08-17";1667;2001;32;-145.494368131868
"686";"2001-08-24";1593;2001;33;-159.613873626374
"694";"2001-08-31";1680;2001;34;-157.386767399267
"702";"2001-09-07";1586;2001;35;-131.453617216117
"710";"2001-09-14";1674;2001;36;-124.558928571429
"718";"2001-09-21";1704;2001;37;-129.762385531136
"726";"2001-09-28";1699;2001;38;-107.358539377289
"734";"2001-10-05";1629;2001;39;-81.0128663003663
