"";"date";"deaths";"year";"week";"seasonal"
"7";"2000-01-07";1611;2000;1;154.618166649056
"15";"2000-01-14";1698;2000;2;157.89557049521
"23";"2000-01-21";1578;2000;3;160.02057049521
"31";"2000-01-28";1520;2000;4;152.841243572133
"39";"2000-02-04";1429;2000;5;152.712878187517
"47";"2000-02-11";1371;2000;6;159.281628187517
"55";"2000-02-18";1343;2000;7;159.071051264441
"63";"2000-02-25";1221;2000;8;165.921051264441
"71";"2000-03-03";1198;2000;9;153.477782033671
"79";"2000-03-10";1179;2000;10;134.954705110594
"87";"2000-03-17";1222;2000;11;97.078743572133
"95";"2000-03-24";1053;2000;12;61.6527820336715
"103";"2000-03-31";1178;2000;13;43.8417243413637
"111";"2000-04-07";1166;2000;14;43.2773012644407
"119";"2000-04-14";1142;2000;15;-1.8395256586362
"127";"2000-04-21";1105;2000;16;-14.0140448894055
"135";"2000-04-28";1174;2000;17;-23.7251025817132
"143";"2000-05-05";1141;2000;18;-41.8621218124823
"151";"2000-05-12";1134;2000;19;-71.0986602740208
"159";"2000-05-19";1074;2000;20;-92.0183718124824
"167";"2000-05-26";1022;2000;21;-75.5650064278669
"175";"2000-06-02";1067;2000;22;-97.1736602740208
"183";"2000-06-09";1147;2000;23;-108.49192950479
"191";"2000-06-16";1114;2000;24;-91.3976987355592
"199";"2000-06-23";1088;2000;25;-86.4712564278669
"207";"2000-06-30";1133;2000;26;-75.7577948894053
"215";"2000-07-07";1088;2000;27;-106.920935915046
"223";"2000-07-14";1010;2000;28;-112.014342508453
"231";"2000-07-21";1121;2000;29;-94.058298552409
"239";"2000-07-28";1088;2000;30;-93.146668515779
"247";"2000-08-04";1079;2000;31;-105.720844339955
"255";"2000-08-11";1098;2000;32;-114.168646537757
"263";"2000-08-18";1178;2000;33;-90.0074743765849
"271";"2000-08-25";1062;2000;34;-95.5473095414201
"279";"2000-09-01";1031;2000;35;-107.608664852775
"287";"2000-09-08";1053;2000;36;-89.8895256586362
"295";"2000-09-15";1111;2000;37;-74.5087564278669
"303";"2000-09-22";1129;2000;38;-60.3717371970977
"311";"2000-09-29";1136;2000;39;-59.3178910432515
"319";"2000-10-06";1120;2000;40;-33.4270256586362
"327";"2000-10-13";1210;2000;41;-30.5121218124824
"335";"2000-10-20";1149;2000;42;-49.9308718124823
"343";"2000-10-27";1190;2000;43;-10.0039487355593
"351";"2000-11-03";1189;2000;44;-23.4534679663285
"359";"2000-11-10";1139;2000;45;-26.3299102740208
"367";"2000-11-17";1259;2000;46;8.85807049520993
"375";"2000-11-24";1273;2000;47;23.7393204952099
"383";"2000-12-01";1208;2000;48;31.5917243413637
"391";"2000-12-08";1274;2000;49;43.5133589567483
"399";"2000-12-15";1219;2000;50;45.9840320336714
"407";"2000-12-22";1250;2000;51;87.086916649056
"415";"2000-12-29";1301;2000;52;118.934993572133
"431";"2001-01-12";1265;2001;1;154.618166649056
"439";"2001-01-19";1308;2001;2;157.89557049521
"447";"2001-01-26";1219;2001;3;160.02057049521
"455";"2001-02-02";1257;2001;4;152.841243572133
"463";"2001-02-09";1259;2001;5;152.712878187517
"471";"2001-02-16";1283;2001;6;159.281628187517
"479";"2001-02-23";1203;2001;7;159.071051264441
"487";"2001-03-02";1204;2001;8;165.921051264441
"495";"2001-03-09";1249;2001;9;153.477782033671
"503";"2001-03-16";1216;2001;10;134.954705110594
"511";"2001-03-23";1212;2001;11;97.078743572133
"519";"2001-03-30";1252;2001;12;61.6527820336715
"527";"2001-04-06";1150;2001;13;43.8417243413637
"535";"2001-04-13";1175;2001;14;43.2773012644407
