"";"date";"deaths";"year";"week"
"6384";"2015-01-09";13463;2015;1
"6392";"2015-01-16";18270;2015;2
"6400";"2015-01-23";16703;2015;3
"6408";"2015-01-30";15688;2015;4
"6416";"2015-02-06";14536;2015;5
"6424";"2015-02-13";13701;2015;6
"6432";"2015-02-20";13486;2015;7
"6440";"2015-02-27";13038;2015;8
"6448";"2015-03-06";13154;2015;9
"6456";"2015-03-13";12998;2015;10
"6464";"2015-03-20";12454;2015;11
"6472";"2015-03-27";12010;2015;12
"6480";"2015-04-03";11969;2015;13
"6488";"2015-04-10";10294;2015;14
"6496";"2015-04-17";11553;2015;15
"6504";"2015-04-24";13027;2015;16
"6512";"2015-05-01";11988;2015;17
"6520";"2015-05-08";11560;2015;18
"6528";"2015-05-15";10099;2015;19
"6536";"2015-05-22";11659;2015;20
"6544";"2015-05-29";11305;2015;21
"6552";"2015-06-05";9495;2015;22
"6560";"2015-06-12";11576;2015;23
"6568";"2015-06-19";10823;2015;24
"6576";"2015-06-26";10613;2015;25
"6584";"2015-07-03";10488;2015;26
"6592";"2015-07-10";10514;2015;27
"6600";"2015-07-17";10255;2015;28
"6608";"2015-07-24";9990;2015;29
"6616";"2015-07-31";9978;2015;30
"6624";"2015-08-07";9872;2015;31
"6632";"2015-08-14";10114;2015;32
"6640";"2015-08-21";10318;2015;33
"6648";"2015-08-28";10320;2015;34
"6656";"2015-09-04";10209;2015;35
"6664";"2015-09-11";9063;2015;36
"6672";"2015-09-18";10548;2015;37
"6680";"2015-09-25";10357;2015;38
"6688";"2015-10-02";10802;2015;39
"6696";"2015-10-09";10677;2015;40
"6704";"2015-10-16";11082;2015;41
"6712";"2015-10-23";10762;2015;42
"6720";"2015-10-30";10940;2015;43
"6728";"2015-11-06";11000;2015;44
"6736";"2015-11-13";11290;2015;45
"6744";"2015-11-20";11318;2015;46
"6752";"2015-11-27";11156;2015;47
"6760";"2015-12-04";11188;2015;48
"6768";"2015-12-11";11726;2015;49
"6776";"2015-12-18";11672;2015;50
"6784";"2015-12-25";12113;2015;51
"6816";"2016-01-08";14841;2016;1
"6824";"2016-01-15";13126;2016;2
"6832";"2016-01-22";13039;2016;3
"6840";"2016-01-29";12869;2016;4
"6848";"2016-02-05";12546;2016;5
"6856";"2016-02-12";12676;2016;6
"6864";"2016-02-19";11988;2016;7
"6872";"2016-02-26";12689;2016;8
"6880";"2016-03-04";12710;2016;9
"6888";"2016-03-11";12479;2016;10
"6896";"2016-03-18";12457;2016;11
"6904";"2016-03-25";10943;2016;12
"6912";"2016-04-01";11723;2016;13
"6920";"2016-04-08";13046;2016;14
"6928";"2016-04-15";12732;2016;15
"6936";"2016-04-22";12280;2016;16
