date;seasonal_trend;day_of_year
2007-01-12;135.566;12
2007-01-13;131.661;13
2007-01-14;127.756;14
2007-01-15;123.85;15
2007-01-16;119.945;16
2007-01-17;116.04;17
2007-01-18;112.134;18
2007-01-19;112.134;19
2007-01-20;109.566;20
2007-01-21;106.997;21
2007-01-22;104.428;22
2007-01-23;101.86;23
2007-01-24;99.291;24
2007-01-25;96.722;25
2007-01-26;96.722;26
2007-01-27;96.281;27
2007-01-28;95.841;28
2007-01-29;95.4;29
2007-01-30;94.959;30
2007-01-31;94.518;31
2007-02-01;94.077;32
2007-02-02;94.077;33
2007-02-03;95.445;34
2007-02-04;96.812;35
2007-02-05;98.18;36
2007-02-06;99.547;37
2007-02-07;100.915;38
2007-02-08;102.282;39
2007-02-09;102.282;40
2007-02-10;102.893;41
2007-02-11;103.504;42
2007-02-12;104.114;43
2007-02-13;104.725;44
2007-02-14;105.336;45
2007-02-15;105.946;46
2007-02-16;105.946;47
2007-02-17;107.894;48
2007-02-18;109.841;49
2007-02-19;111.789;50
2007-02-20;113.736;51
2007-02-21;115.683;52
2007-02-22;117.631;53
2007-02-23;117.631;54
2007-02-24;115.003;55
2007-02-25;112.375;56
2007-02-26;109.747;57
2007-02-27;107.119;58
2007-02-28;104.491;59
2007-03-01;101.864;60
2007-03-02;101.864;61
2007-03-03;102.684;62
2007-03-04;103.504;63
2007-03-05;104.324;64
2007-03-06;105.145;65
2007-03-07;105.965;66
2007-03-08;106.785;67
2007-03-09;106.785;68
2007-03-10;103.405;69
2007-03-11;100.025;70
2007-03-12;96.644;71
2007-03-13;93.264;72
2007-03-14;89.884;73
2007-03-15;86.503;74
2007-03-16;86.503;75
2007-03-17;84.491;76
2007-03-18;82.479;77
2007-03-19;80.466;78
2007-03-20;78.454;79
2007-03-21;76.442;80
2007-03-22;74.429;81
2007-03-23;74.429;82
2007-03-24;73.063;83
2007-03-25;71.697;84
2007-03-26;70.33;85
2007-03-27;68.964;86
2007-03-28;67.598;87
2007-03-29;66.231;88
2007-03-30;66.231;89
2007-03-31;64.013;90
2007-04-01;61.795;91
2007-04-02;59.577;92
2007-04-03;57.358;93
2007-04-04;55.14;94
2007-04-05;52.922;95
2007-04-06;52.922;96
2007-04-07;50.866;97
2007-04-08;48.81;98
2007-04-09;46.753;99
2007-04-10;44.697;100
2007-04-11;42.641;101
2007-04-12;40.585;102
2007-04-13;40.585;103
2007-04-14;39.499;104
2007-04-15;38.413;105
2007-04-16;37.327;106
2007-04-17;36.241;107
2007-04-18;35.155;108
2007-04-19;34.069;109
2007-04-20;34.069;110
2007-04-21;29.478;111
2007-04-22;24.886;112
2007-04-23;20.295;113
2007-04-24;15.703;114
2007-04-25;11.112;115
2007-04-26;6.52;116
2007-04-27;6.52;117
2007-04-28;2.773;118
2007-04-29;-0.975;119
2007-04-30;-4.722;120
2007-05-01;-8.47;121
2007-05-02;-12.217;122
2007-05-03;-15.965;123
2007-05-04;-15.965;124
2007-05-05;-12.814;125
2007-05-06;-9.662;126
2007-05-07;-6.511;127
2007-05-08;-3.36;128
2007-05-09;-0.209;129
2007-05-10;2.943;130
2007-05-11;2.943;131
2007-05-12;0.379;132
2007-05-13;-2.185;133
2007-05-14;-4.749;134
2007-05-15;-7.313;135
2007-05-16;-9.877;136
2007-05-17;-12.441;137
2007-05-18;-12.441;138
2007-05-19;-17.375;139
2007-05-20;-22.309;140
2007-05-21;-27.243;141
2007-05-22;-32.176;142
