date;seasonal_trend;day_of_year
2016-01-08;1457.504;8
2016-01-09;1523.797;9
2016-01-10;1590.091;10
2016-01-11;1656.384;11
2016-01-12;1722.677;12
2016-01-13;1788.97;13
2016-01-14;1855.264;14
2016-01-15;1855.264;15
2016-01-16;1827.576;16
2016-01-17;1799.888;17
2016-01-18;1772.2;18
2016-01-19;1744.512;19
2016-01-20;1716.824;20
2016-01-21;1689.136;21
2016-01-22;1689.136;22
2016-01-23;1727.977;23
2016-01-24;1766.818;24
2016-01-25;1805.659;25
2016-01-26;1844.5;26
2016-01-27;1883.341;27
2016-01-28;1922.182;28
2016-01-29;1922.182;29
2016-01-30;2051.425;30
2016-01-31;2180.668;31
2016-02-01;2309.91;32
2016-02-02;2439.153;33
2016-02-03;2568.396;34
2016-02-04;2697.639;35
2016-02-05;2697.639;36
2016-02-06;2655.007;37
2016-02-07;2612.376;38
2016-02-08;2569.744;39
2016-02-09;2527.113;40
2016-02-10;2484.482;41
2016-02-11;2441.85;42
2016-02-12;2441.85;43
2016-02-13;2518.842;44
2016-02-14;2595.834;45
2016-02-15;2672.826;46
2016-02-16;2749.818;47
2016-02-17;2826.81;48
2016-02-18;2903.802;49
2016-02-19;2903.802;50
2016-02-20;2931.972;51
2016-02-21;2960.142;52
2016-02-22;2988.312;53
2016-02-23;3016.482;54
2016-02-24;3044.652;55
2016-02-25;3072.821;56
2016-02-26;3072.821;57
2016-02-27;3168.109;58
2016-02-28;3263.396;59
2016-02-29;3358.683;60
2016-03-01;3453.97;61
2016-03-02;3549.258;62
2016-03-03;3644.545;63
2016-03-04;3644.545;64
2016-03-05;3611.874;65
2016-03-06;3579.204;66
2016-03-07;3546.533;67
2016-03-08;3513.862;68
2016-03-09;3481.192;69
2016-03-10;3448.521;70
2016-03-11;3448.521;71
2016-03-12;3312.691;72
2016-03-13;3176.861;73
2016-03-14;3041.032;74
2016-03-15;2905.202;75
2016-03-16;2769.372;76
2016-03-17;2633.543;77
2016-03-18;2633.543;78
2016-03-19;2484.144;79
2016-03-20;2334.746;80
2016-03-21;2185.348;81
2016-03-22;2035.95;82
2016-03-23;1886.551;83
2016-03-24;1737.153;84
2016-03-25;1737.153;85
2016-03-26;1641.455;86
2016-03-27;1545.756;87
2016-03-28;1450.058;88
2016-03-29;1354.36;89
2016-03-30;1258.662;90
2016-03-31;1162.963;91
2016-04-01;1162.963;92
2016-04-02;1140.294;93
2016-04-03;1117.625;94
2016-04-04;1094.956;95
2016-04-05;1072.287;96
2016-04-06;1049.618;97
2016-04-07;1026.949;98
2016-04-08;1026.949;99
2016-04-09;944.984;100
2016-04-10;863.019;101
2016-04-11;781.055;102
2016-04-12;699.09;103
2016-04-13;617.125;104
2016-04-14;535.16;105
2016-04-15;535.16;106
2016-04-16;433.812;107
2016-04-17;332.463;108
2016-04-18;231.115;109
2016-04-19;129.766;110
2016-04-20;28.418;111
2016-04-21;-72.931;112
2016-04-22;-72.931;113
2016-04-23;-107.576;114
2016-04-24;-142.222;115
2016-04-25;-176.867;116
2016-04-26;-211.513;117
2016-04-27;-246.158;118
2016-04-28;-280.804;119
2016-04-29;-280.804;120
2016-04-30;-375.588;121
2016-05-01;-470.373;122
2016-05-02;-565.157;123
2016-05-03;-659.941;124
2016-05-04;-754.726;125
2016-05-05;-849.51;126
2016-05-06;-849.51;127
2016-05-07;-833.659;128
2016-05-08;-817.808;129
2016-05-09;-801.957;130
2016-05-10;-786.107;131
2016-05-11;-770.256;132
2016-05-12;-754.405;133
2016-05-13;-754.405;134
2016-05-14;-815.83;135
2016-05-15;-877.256;136
2016-05-16;-938.682;137
2016-05-17;-1000.108;138
2016-05-18;-1061.534;139
2016-05-19;-1122.96;140
2016-05-20;-1122.96;141
2016-05-21;-1152.204;142
2016-05-22;-1181.449;143
2016-05-23;-1210.693;144
2016-05-24;-1239.937;145
2016-05-25;-1269.182;146
2016-05-26;-1298.426;147
2016-05-27;-1298.426;148
2016-05-28;-1283.127;149
2016-05-29;-1267.828;150
2016-05-30;-1252.528;151
2016-05-31;-1237.229;152
2016-06-01;-1221.93;153
2016-06-02;-1206.631;154
2016-06-03;-1206.631;155
2016-06-04;-1222.04;156
2016-06-05;-1237.449;157
2016-06-06;-1252.859;158
2016-06-07;-1268.268;159
2016-06-08;-1283.678;160
2016-06-09;-1299.087;161
2016-06-10;-1299.087;162
2016-06-11;-1409.516;163
2016-06-12;-1519.945;164
