date;seasonal_trend;day_of_year
2011-01-07;2283.465;7
2011-01-08;2315.099;8
2011-01-09;2346.733;9
2011-01-10;2378.368;10
2011-01-11;2410.002;11
2011-01-12;2441.636;12
2011-01-13;2473.27;13
2011-01-14;2473.27;14
2011-01-15;2451.548;15
2011-01-16;2429.827;16
2011-01-17;2408.106;17
2011-01-18;2386.384;18
2011-01-19;2364.663;19
2011-01-20;2342.942;20
2011-01-21;2342.942;21
2011-01-22;2291.6;22
2011-01-23;2240.258;23
2011-01-24;2188.916;24
2011-01-25;2137.574;25
2011-01-26;2086.231;26
2011-01-27;2034.889;27
2011-01-28;2034.889;28
2011-01-29;2050.664;29
2011-01-30;2066.439;30
2011-01-31;2082.213;31
2011-02-01;2097.988;32
2011-02-02;2113.762;33
2011-02-03;2129.537;34
2011-02-04;2129.537;35
2011-02-05;2092.072;36
2011-02-06;2054.608;37
2011-02-07;2017.143;38
2011-02-08;1979.679;39
2011-02-09;1942.214;40
2011-02-10;1904.749;41
2011-02-11;1904.749;42
2011-02-12;1908.599;43
2011-02-13;1912.449;44
2011-02-14;1916.299;45
2011-02-15;1920.148;46
2011-02-16;1923.998;47
2011-02-17;1927.848;48
2011-02-18;1927.848;49
2011-02-19;1877.883;50
2011-02-20;1827.918;51
2011-02-21;1777.953;52
2011-02-22;1727.988;53
2011-02-23;1678.023;54
2011-02-24;1628.058;55
2011-02-25;1628.058;56
2011-02-26;1603.887;57
2011-02-27;1579.715;58
2011-02-28;1555.544;59
2011-03-01;1531.372;60
2011-03-02;1507.201;61
2011-03-03;1483.029;62
2011-03-04;1483.029;63
2011-03-05;1445.744;64
2011-03-06;1408.458;65
2011-03-07;1371.173;66
2011-03-08;1333.888;67
2011-03-09;1296.602;68
2011-03-10;1259.317;69
2011-03-11;1259.317;70
2011-03-12;1277.375;71
2011-03-13;1295.433;72
2011-03-14;1313.491;73
2011-03-15;1331.55;74
2011-03-16;1349.608;75
2011-03-17;1367.666;76
2011-03-18;1367.666;77
2011-03-19;1372.751;78
2011-03-20;1377.835;79
2011-03-21;1382.919;80
2011-03-22;1388.004;81
2011-03-23;1393.088;82
2011-03-24;1398.173;83
2011-03-25;1398.173;84
2011-03-26;1395.949;85
2011-03-27;1393.726;86
2011-03-28;1391.502;87
2011-03-29;1389.279;88
2011-03-30;1387.055;89
2011-03-31;1384.832;90
2011-04-01;1384.832;91
2011-04-02;1301.511;92
2011-04-03;1218.191;93
2011-04-04;1134.87;94
2011-04-05;1051.55;95
2011-04-06;968.229;96
2011-04-07;884.909;97
2011-04-08;884.909;98
2011-04-09;822.408;99
2011-04-10;759.907;100
2011-04-11;697.406;101
2011-04-12;634.905;102
2011-04-13;572.404;103
2011-04-14;509.903;104
2011-04-15;509.903;105
2011-04-16;431.431;106
2011-04-17;352.958;107
2011-04-18;274.486;108
2011-04-19;196.013;109
2011-04-20;117.54;110
2011-04-21;39.068;111
2011-04-22;39.068;112
2011-04-23;-22.934;113
2011-04-24;-84.935;114
2011-04-25;-146.936;115
2011-04-26;-208.938;116
2011-04-27;-270.939;117
2011-04-28;-332.941;118
2011-04-29;-332.941;119
2011-04-30;-387.569;120
2011-05-01;-442.197;121
2011-05-02;-496.825;122
2011-05-03;-551.454;123
2011-05-04;-606.082;124
2011-05-05;-660.71;125
2011-05-06;-660.71;126
2011-05-07;-675.04;127
2011-05-08;-689.371;128
2011-05-09;-703.701;129
2011-05-10;-718.032;130
2011-05-11;-732.362;131
2011-05-12;-746.693;132
2011-05-13;-746.693;133
2011-05-14;-814.398;134
2011-05-15;-882.103;135
2011-05-16;-949.808;136
2011-05-17;-1017.513;137
2011-05-18;-1085.218;138
2011-05-19;-1152.923;139
2011-05-20;-1152.923;140
2011-05-21;-1144.645;141
2011-05-22;-1136.367;142
2011-05-23;-1128.09;143
2011-05-24;-1119.812;144
2011-05-25;-1111.535;145
2011-05-26;-1103.257;146
2011-05-27;-1103.257;147
2011-05-28;-1126.603;148
2011-05-29;-1149.95;149
2011-05-30;-1173.296;150
2011-05-31;-1196.643;151
2011-06-01;-1219.99;152
2011-06-02;-1243.336;153
2011-06-03;-1243.336;154
2011-06-04;-1217.34;155
2011-06-05;-1191.344;156
2011-06-06;-1165.348;157
2011-06-07;-1139.352;158
2011-06-08;-1113.356;159
2011-06-09;-1087.36;160
2011-06-10;-1087.36;161
2011-06-11;-1080.644;162
2011-06-12;-1073.929;163
2011-06-13;-1067.214;164
2011-06-14;-1060.498;165
2011-06-15;-1053.783;166
2011-06-16;-1047.068;167
2011-06-17;-1047.068;168
2011-06-18;-1048.42;169
2011-06-19;-1049.773;170
