date;seasonal_trend;day_of_year
2015-01-09;1932.887;9
2015-01-10;2173.096;10
2015-01-11;2413.305;11
2015-01-12;2653.514;12
2015-01-13;2893.723;13
2015-01-14;3133.933;14
2015-01-15;3374.142;15
2015-01-16;3374.142;16
2015-01-17;3252.123;17
2015-01-18;3130.104;18
2015-01-19;3008.085;19
2015-01-20;2886.066;20
2015-01-21;2764.047;21
2015-01-22;2642.028;22
2015-01-23;2642.028;23
2015-01-24;2546.161;24
2015-01-25;2450.293;25
2015-01-26;2354.426;26
2015-01-27;2258.559;27
2015-01-28;2162.691;28
2015-01-29;2066.824;29
2015-01-30;2066.824;30
2015-01-31;1991.844;31
2015-02-01;1916.863;32
2015-02-02;1841.883;33
2015-02-03;1766.902;34
2015-02-04;1691.922;35
2015-02-05;1616.942;36
2015-02-06;1616.942;37
2015-02-07;1569.693;38
2015-02-08;1522.444;39
2015-02-09;1475.195;40
2015-02-10;1427.946;41
2015-02-11;1380.697;42
2015-02-12;1333.448;43
2015-02-13;1333.448;44
2015-02-14;1285.244;45
2015-02-15;1237.04;46
2015-02-16;1188.836;47
2015-02-17;1140.632;48
2015-02-18;1092.428;49
2015-02-19;1044.224;50
2015-02-20;1044.224;51
2015-02-21;1046.217;52
2015-02-22;1048.211;53
2015-02-23;1050.204;54
2015-02-24;1052.198;55
2015-02-25;1054.191;56
2015-02-26;1056.185;57
2015-02-27;1056.185;58
2015-02-28;975.087;59
2015-03-01;893.99;60
2015-03-02;812.893;61
2015-03-03;731.795;62
2015-03-04;650.698;63
2015-03-05;569.6;64
2015-03-06;569.6;65
2015-03-07;643.407;66
2015-03-08;717.214;67
2015-03-09;791.02;68
2015-03-10;864.827;69
2015-03-11;938.633;70
2015-03-12;1012.44;71
2015-03-13;1012.44;72
2015-03-14;969.511;73
2015-03-15;926.582;74
2015-03-16;883.653;75
2015-03-17;840.725;76
2015-03-18;797.796;77
2015-03-19;754.867;78
2015-03-20;754.867;79
2015-03-21;641.568;80
2015-03-22;528.27;81
2015-03-23;414.971;82
2015-03-24;301.672;83
2015-03-25;188.374;84
2015-03-26;75.075;85
2015-03-27;75.075;86
2015-03-28;14.863;87
2015-03-29;-45.35;88
2015-03-30;-105.562;89
2015-03-31;-165.775;90
2015-04-01;-225.987;91
2015-04-02;-286.2;92
2015-04-03;-286.2;93
2015-04-04;-8.071;94
2015-04-05;270.057;95
2015-04-06;548.185;96
2015-04-07;826.313;97
2015-04-08;1104.441;98
2015-04-09;1382.569;99
2015-04-10;1382.569;100
2015-04-11;1458.434;101
2015-04-12;1534.3;102
2015-04-13;1610.165;103
2015-04-14;1686.031;104
2015-04-15;1761.896;105
2015-04-16;1837.761;106
2015-04-17;1837.761;107
2015-04-18;1902.88;108
2015-04-19;1967.999;109
2015-04-20;2033.118;110
2015-04-21;2098.237;111
2015-04-22;2163.356;112
2015-04-23;2228.475;113
2015-04-24;2228.475;114
2015-04-25;2247.68;115
2015-04-26;2266.884;116
2015-04-27;2286.089;117
2015-04-28;2305.293;118
2015-04-29;2324.498;119
2015-04-30;2343.702;120
2015-05-01;2343.702;121
2015-05-02;2125.152;122
2015-05-03;1906.602;123
2015-05-04;1688.051;124
2015-05-05;1469.501;125
2015-05-06;1250.951;126
2015-05-07;1032.4;127
2015-05-08;1032.4;128
2015-05-09;823.753;129
2015-05-10;615.105;130
2015-05-11;406.457;131
2015-05-12;197.81;132
2015-05-13;-10.838;133
2015-05-14;-219.486;134
2015-05-15;-219.486;135
2015-05-16;-98.343;136
2015-05-17;22.799;137
2015-05-18;143.942;138
2015-05-19;265.084;139
2015-05-20;386.227;140
2015-05-21;507.369;141
2015-05-22;507.369;142
2015-05-23;388.268;143
2015-05-24;269.166;144
2015-05-25;150.065;145
2015-05-26;30.964;146
2015-05-27;-88.137;147
2015-05-28;-207.239;148
2015-05-29;-207.239;149
2015-05-30;-538.745;150
2015-05-31;-870.251;151
2015-06-01;-1201.756;152
2015-06-02;-1533.262;153
2015-06-03;-1864.768;154
2015-06-04;-2196.274;155
2015-06-05;-2196.274;156
2015-06-06;-1927.415;157
2015-06-07;-1658.555;158
2015-06-08;-1389.696;159
2015-06-09;-1120.836;160
2015-06-10;-851.977;161
2015-06-11;-583.117;162
2015-06-12;-583.117;163
2015-06-13;-691.175;164
2015-06-14;-799.232;165
2015-06-15;-907.29;166
2015-06-16;-1015.347;167
2015-06-17;-1123.405;168
2015-06-18;-1231.462;169
2015-06-19;-1231.462;170
2015-06-20;-1244.695;171
2015-06-21;-1257.928;172
2015-06-22;-1271.16;173
2015-06-23;-1284.393;174
2015-06-24;-1297.626;175
2015-06-25;-1310.858;176
2015-06-26;-1310.858;177
2015-06-27;-1332.287;178
2015-06-28;-1353.715;179
2015-06-29;-1375.143;180
2015-06-30;-1396.571;181
2015-07-01;-1417.999;182
2015-07-02;-1439.428;183
2015-07-03;-1439.428;184
2015-07-04;-1408.691;185
2015-07-05;-1377.954;186
2015-07-06;-1347.217;187
2015-07-07;-1316.481;188
2015-07-08;-1285.744;189
2015-07-09;-1255.007;190
2015-07-10;-1255.007;191
2015-07-11;-1249.016;192
2015-07-12;-1243.024;193
2015-07-13;-1237.033;194
2015-07-14;-1231.041;195
2015-07-15;-1225.05;196
2015-07-16;-1219.058;197
2015-07-17;-1219.058;198
2015-07-18;-1243.08;199
2015-07-19;-1267.101;200
2015-07-20;-1291.123;201
2015-07-21;-1315.145;202
2015-07-22;-1339.166;203
2015-07-23;-1363.188;204
2015-07-24;-1363.188;205
2015-07-25;-1370.894;206
2015-07-26;-1378.6;207
2015-07-27;-1386.305;208
2015-07-28;-1394.011;209
2015-07-29;-1401.717;210
2015-07-30;-1409.423;211
2015-07-31;-1409.423;212
2015-08-01;-1407.522;213
2015-08-02;-1405.62;214
2015-08-03;-1403.719;215
2015-08-04;-1401.818;216
2015-08-05;-1399.917;217
2015-08-06;-1398.015;218
2015-08-07;-1398.015;219
2015-08-08;-1388.802;220
2015-08-09;-1379.589;221
2015-08-10;-1370.376;222
2015-08-11;-1361.163;223
2015-08-12;-1351.95;224
2015-08-13;-1342.737;225
2015-08-14;-1342.737;226
2015-08-15;-1344.522;227
2015-08-16;-1346.307;228
2015-08-17;-1348.092;229
2015-08-18;-1349.877;230
2015-08-19;-1351.662;231
2015-08-20;-1353.447;232
2015-08-21;-1353.447;233
2015-08-22;-1338.913;234
2015-08-23;-1324.38;235
2015-08-24;-1309.847;236
2015-08-25;-1295.313;237
2015-08-26;-1280.78;238
2015-08-27;-1266.247;239
2015-08-28;-1266.247;240
2015-08-29;-1425.395;241
2015-08-30;-1584.543;242
2015-08-31;-1743.692;243
2015-09-01;-1902.84;244
2015-09-02;-2061.988;245
2015-09-03;-2221.137;246
2015-09-04;-2221.137;247
2015-09-05;-2060.543;248
2015-09-06;-1899.949;249
2015-09-07;-1739.354;250
2015-09-08;-1578.76;251
2015-09-09;-1418.166;252
