"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2000W01","Belgium","Total","Number","2 814",""
"2000W01","Denmark","Total","Number",":",""
"2000W01","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W01","Spain","Total","Number","9 414",""
"2000W01","Italy","Total","Number",":",""
"2000W01","Sweden","Total","Number","2 364",""
"2000W01","Switzerland","Total","Number","1 611",""
"2000W01","United Kingdom","Total","Number",":",""
"2000W02","Belgium","Total","Number","2 761",""
"2000W02","Denmark","Total","Number",":",""
"2000W02","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W02","Spain","Total","Number","9 875",""
"2000W02","Italy","Total","Number",":",""
"2000W02","Sweden","Total","Number","2 232",""
"2000W02","Switzerland","Total","Number","1 698",""
"2000W02","United Kingdom","Total","Number",":",""
"2000W03","Belgium","Total","Number","2 640",""
"2000W03","Denmark","Total","Number",":",""
"2000W03","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W03","Spain","Total","Number","9 626",""
"2000W03","Italy","Total","Number",":",""
"2000W03","Sweden","Total","Number","2 093",""
"2000W03","Switzerland","Total","Number","1 578",""
"2000W03","United Kingdom","Total","Number",":",""
"2000W04","Belgium","Total","Number","2 633",""
"2000W04","Denmark","Total","Number",":",""
"2000W04","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W04","Spain","Total","Number","9 426",""
"2000W04","Italy","Total","Number",":",""
"2000W04","Sweden","Total","Number","2 087",""
"2000W04","Switzerland","Total","Number","1 520",""
"2000W04","United Kingdom","Total","Number",":",""
"2000W05","Belgium","Total","Number","2 403",""
"2000W05","Denmark","Total","Number",":",""
"2000W05","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W05","Spain","Total","Number","8 759",""
"2000W05","Italy","Total","Number",":",""
"2000W05","Sweden","Total","Number","2 016",""
"2000W05","Switzerland","Total","Number","1 429",""
"2000W05","United Kingdom","Total","Number",":",""
"2000W06","Belgium","Total","Number","2 201",""
"2000W06","Denmark","Total","Number",":",""
